time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,label
0.112984,0.0,0.0,0.0,0.0,0.0,0.0,-2.6438,-8.4375,-28.6875,,adl
0.173024,0.0,0.0,0.0,0.0,0.0,0.0,-20.325,-22.725,-8.175,,adl
0.184829,0.0,0.0,0.0,0.0003,-0.0033,0.0013,-20.325,-22.725,-8.175,,adl
0.228048,0.0,0.0,0.0,0.0003,-0.0033,0.0013,-20.325,-22.725,-8.175,,adl
0.233264,0.0,0.0,0.0,0.0003,-0.0033,0.0013,-22.5563,-27.1313,-9.1313,,adl
0.247346,0.0,0.0,0.0,0.0003,-0.0059,0.0027,-22.5563,-27.1313,-9.1313,,adl
0.288657,0.0,0.0,0.0,0.0003,-0.0059,0.0027,-22.5563,-27.1313,-9.1313,,adl
0.293642,0.0,0.0,0.0,0.0003,-0.0059,0.0027,-23.925,-29.3813,-9.6188,,adl
0.307298,0.0,0.0,0.0,0.0009,-0.0051,0.0024,-23.925,-29.3813,-9.6188,,adl
0.329368,0.0,0.0,0.0,0.0009,-0.0051,0.0024,-23.925,-29.3813,-9.6188,,adl
0.348659,0.0,0.0,0.0,0.0009,-0.0051,0.0024,-23.925,-29.3813,-9.6188,,adl
0.351062,0.0,0.0,0.0,0.0009,-0.0051,0.0024,-24.6563,-30.45,-9.975,,adl
0.370588,0.0,0.0,0.0,-0.0033,0.0067,0.0003,-24.6563,-30.45,-9.975,,adl
0.388978,-0.0002,0.0066,0.0,-0.0033,0.0067,0.0003,-24.6563,-30.45,-9.975,,adl
0.408962,-0.0002,0.0066,0.0,-0.0033,0.0067,0.0003,-24.6563,-30.45,-9.975,,adl
0.411064,-0.0002,0.0066,0.0,-0.0033,0.0067,0.0003,-25.0125,-31.1813,-9.9375,,adl
0.429307,-0.0002,0.0066,0.0,0.0056,-0.0076,0.0095,-25.0125,-31.1813,-9.9375,,adl
0.471677,-0.0002,0.0066,0.0,0.0056,-0.0076,0.0095,-25.0125,-31.1813,-9.9375,,adl
0.473944,-0.0285,-0.022,0.0115,0.0056,-0.0076,0.0095,-25.0125,-31.1813,-9.9375,,adl
0.47617,-0.0285,-0.022,0.0115,0.0056,-0.0076,0.0095,-25.3313,-31.8375,-10.0875,,adl
0.489622,-0.0285,-0.022,0.0115,-0.0027,0.0013,-0.0051,-25.3313,-31.8375,-10.0875,,adl
0.532253,-0.0285,-0.022,0.0115,-0.0027,0.0013,-0.0051,-25.3313,-31.8375,-10.0875,,adl
0.534272,-0.0285,-0.022,0.0115,-0.0027,0.0013,-0.0051,-25.6125,-32.2688,-10.3875,,adl
0.536653,0.0371,0.0512,-0.0137,-0.0027,0.0013,-0.0051,-25.6125,-32.2688,-10.3875,,adl
0.552651,0.0371,0.0512,-0.0137,-0.0055,-0.0012,-0.0037,-25.6125,-32.2688,-10.3875,,adl
0.594995,0.0371,0.0512,-0.0137,-0.0055,-0.0012,-0.0037,-27.2813,-35.5125,-11.0813,,adl
