time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,label
0.072945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,adl
0.129152,0.0,0.0,0.0,0.0,0.0,0.0,10.65,2.8688,-40.1625,,adl
0.130527,0.0,0.0,0.0,0.0,0.0,0.0,10.65,2.8688,-40.1625,,adl
0.171324,0.0,0.0,0.0,0.0145,-0.0009,-0.015,10.65,2.8688,-40.1625,,adl
0.188416,0.0,0.0,0.0,0.0145,-0.0009,-0.015,11.7,2.8313,-40.0312,,adl
0.192165,0.0667,-0.084,-0.0268,0.0145,-0.0009,-0.015,11.7,2.8313,-40.0312,,adl
0.193492,0.0667,-0.084,-0.0268,0.0145,-0.0009,-0.015,11.7,2.8313,-40.0312,,adl
0.231832,0.0667,-0.084,-0.0268,0.0542,0.015,-0.0057,11.7,2.8313,-40.0312,,adl
0.24951,0.0667,-0.084,-0.0268,0.0542,0.015,-0.0057,11.7,3.0188,-40.4438,,adl
0.252508,0.0667,-0.084,-0.0268,0.0542,0.015,-0.0057,11.7,3.0188,-40.4438,,adl
0.272706,0.0717,-0.0459,-0.0224,0.0542,0.015,-0.0057,11.7,3.0188,-40.4438,,adl
0.293847,0.0717,-0.0459,-0.0224,0.084,0.0332,0.0088,11.7,3.0188,-40.4438,,adl
0.30884,0.0717,-0.0459,-0.0224,0.084,0.0332,0.0088,11.775,2.9438,-40.6125,,adl
0.313042,0.0717,-0.0459,-0.0224,0.084,0.0332,0.0088,11.775,2.9438,-40.6125,,adl
0.33453,0.0762,-0.042,-0.0214,0.084,0.0332,0.0088,11.775,2.9438,-40.6125,,adl
0.353986,0.0762,-0.042,-0.0214,0.1004,0.0441,0.0329,11.775,2.9438,-40.6125,,adl
0.37116,0.0762,-0.042,-0.0214,0.1004,0.0441,0.0329,11.5875,2.8313,-40.5188,,adl
0.374997,0.0762,-0.042,-0.0214,0.1004,0.0441,0.0329,11.5875,2.8313,-40.5188,,adl
0.395312,0.0479,0.0002,0.0112,0.1004,0.0441,0.0329,11.5875,2.8313,-40.5188,,adl
0.415797,0.0479,0.0002,0.0112,0.068,0.0001,0.0507,11.5875,2.8313,-40.5188,,adl
0.429458,0.0479,0.0002,0.0112,0.068,0.0001,0.0507,11.6063,2.625,-40.4625,,adl
0.435066,0.0479,0.0002,0.0112,0.068,0.0001,0.0507,11.6063,2.625,-40.4625,,adl
0.45798,0.0524,0.0209,0.0486,0.068,0.0001,0.0507,11.6063,2.625,-40.4625,,adl
0.476562,0.0524,0.0209,0.0486,-0.0021,-0.0802,0.0784,11.6063,2.625,-40.4625,,adl
0.489158,0.0524,0.0209,0.0486,-0.0021,-0.0802,0.0784,11.6438,2.4563,-40.35,,adl
0.498565,0.0524,0.0209,0.0486,-0.0021,-0.0802,0.0784,11.6438,2.4563,-40.35,,adl
0.537619,0.0524,0.0209,0.0486,-0.0605,-0.1497,0.1061,11.6438,2.4563,-40.35,,adl
0.538962,0.2275,-0.0029,0.1402,-0.0605,-0.1497,0.1061,11.6438,2.4563,-40.35,,adl
0.54919,0.2275,-0.0029,0.1402,-0.0605,-0.1497,0.1061,11.5688,2.4188,-40.35,,adl
0.557832,0.2275,-0.0029,0.1402,-0.0605,-0.1497,0.1061,11.5688,2.4188,-40.35,,adl
0.598494,0.2275,-0.0029,0.1402,-0.0413,-0.073,0.1763,11.5688,2.4188,-40.35,,adl
0.600037,-0.4003,-0.0912,-0.2333,-0.0413,-0.073,0.1763,11.5688,2.4188,-40.35,,adl
0.608672,-0.4003,-0.0912,-0.2333,-0.0413,-0.073,0.1763,11.7188,2.3438,-40.2375,,adl
0.617101,-0.4003,-0.0912,-0.2333,-0.0413,-0.073,0.1763,11.7188,2.3438,-40.2375,,adl
0.659768,-0.4003,-0.0912,-0.2333,-0.0125,-0.1047,-0.1133,11.7188,2.3438,-40.2375,,adl
0.66172,0.0015,0.0666,0.0818,-0.0125,-0.1047,-0.1133,11.7188,2.3438,-40.2375,,adl
0.669349,0.0015,0.0666,0.0818,-0.0125,-0.1047,-0.1133,11.5875,2.3625,-40.4062,,adl
0.678568,0.0015,0.0666,0.0818,-0.0125,-0.1047,-0.1133,11.5875,2.3625,-40.4062,,adl
0.720695,0.0015,0.0666,0.0818,-0.0451,-0.0617,-0.1033,11.5875,2.3625,-40.4062,,adl
0.728497,0.0015,0.0666,0.0818,-0.0451,-0.0617,-0.1033,11.4938,2.25,-40.1813,,adl
0.740292,0.0015,0.0666,0.0818,-0.0451,-0.0617,-0.1033,11.4938,2.25,-40.1813,,adl
0.741917,-0.1749,-0.0137,-0.0397,-0.0451,-0.0617,-0.1033,11.4938,2.25,-40.1813,,adl
0.781603,-0.1749,-0.0137,-0.0397,-0.0569,0.0558,-0.1361,11.4938,2.25,-40.1813,,adl
0.790737,-0.1749,-0.0137,-0.0397,-0.0569,0.0558,-0.1361,11.3438,2.2875,-40.2,,adl
0.801806,-0.1749,-0.0137,-0.0397,-0.0569,0.0558,-0.1361,11.3438,2.2875,-40.2,,adl
0.802818,-0.1835,0.032,0.1103,-0.0569,0.0558,-0.1361,11.3438,2.2875,-40.2,,adl
0.841697,-0.1835,0.032,0.1103,-0.0675,-0.0879,-0.287,11.3438,2.2875,-40.2,,adl
0.84888,-0.1835,0.032,0.1103,-0.0675,-0.0879,-0.287,11.4563,2.3063,-40.2563,,adl
0.862412,-0.1046,-0.0115,-0.0114,-0.0675,-0.0879,-0.287,11.4563,2.3063,-40.2563,,adl
0.863202,-0.1046,-0.0115,-0.0114,-0.0675,-0.0879,-0.287,11.4563,2.3063,-40.2563,,adl
0.902771,-0.1046,-0.0115,-0.0114,-0.0967,-0.061,-0.3746,11.4563,2.3063,-40.2563,,adl
0.90773,-0.1046,-0.0115,-0.0114,-0.0967,-0.061,-0.3746,11.175,2.4938,-40.425,,adl
0.92331,-0.1046,-0.0115,-0.0114,-0.0967,-0.061,-0.3746,11.175,2.4938,-40.425,,adl
0.924317,-0.3009,-0.0727,0.1244,-0.0967,-0.061,-0.3746,11.175,2.4938,-40.425,,adl
0.964573,-0.3009,-0.0727,0.1244,-0.0935,-0.2519,-0.5784,11.175,2.4938,-40.425,,adl
0.969918,-0.3009,-0.0727,0.1244,-0.0935,-0.2519,-0.5784,10.9875,2.8125,-40.575,,adl
0.983741,-0.3009,-0.0727,0.1244,-0.0935,-0.2519,-0.5784,10.9875,2.8125,-40.575,,adl
1.005542,-0.4721,0.1089,-0.0441,-0.0935,-0.2519,-0.5784,10.9875,2.8125,-40.575,,adl
1.025021,-0.4721,0.1089,-0.0441,-0.2031,-0.2353,-0.7846,10.9875,2.8125,-40.575,,adl
1.027594,-0.4721,0.1089,-0.0441,-0.2031,-0.2353,-0.7846,10.725,3.2438,-40.6313,,adl
1.045022,-0.4721,0.1089,-0.0441,-0.2031,-0.2353,-0.7846,10.725,3.2438,-40.6313,,adl
1.065381,-1.246,0.1467,-0.1656,-0.2031,-0.2353,-0.7846,10.725,3.2438,-40.6313,,adl
1.085543,-1.246,0.1467,-0.1656,-0.6571,-0.1454,-1.1084,10.725,3.2438,-40.6313,,adl
1.089219,-1.246,0.1467,-0.1656,-0.6571,-0.1454,-1.1084,10.1625,3.7875,-40.7438,,adl
1.105937,-1.246,0.1467,-0.1656,-0.6571,-0.1454,-1.1084,10.1625,3.7875,-40.7438,,adl
1.126225,-2.9515,-0.9413,0.7886,-0.6571,-0.1454,-1.1084,10.1625,3.7875,-40.7438,,adl
1.147208,-2.9515,-0.9413,0.7886,-1.3281,0.0726,-1.2695,10.1625,3.7875,-40.7438,,adl
1.149277,-2.9515,-0.9413,0.7886,-1.3281,0.0726,-1.2695,9.675,4.7063,-40.4438,,adl
1.166684,-2.9515,-0.9413,0.7886,-1.3281,0.0726,-1.2695,9.675,4.7063,-40.4438,,adl
1.206681,-2.9515,-0.9413,0.7886,-0.9358,2.4372,-0.9017,9.675,4.7063,-40.4438,,adl
1.209301,-2.0032,-2.3562,0.2415,-0.9358,2.4372,-0.9017,9.675,4.7063,-40.4438,,adl
1.210507,-2.0032,-2.3562,0.2415,-0.9358,2.4372,-0.9017,9.5063,6.15,-40.1438,,adl
1.228867,-2.0032,-2.3562,0.2415,-0.9358,2.4372,-0.9017,9.5063,6.15,-40.1438,,adl
1.267775,-2.0032,-2.3562,0.2415,-1.5457,-0.9321,-0.4424,9.5063,6.15,-40.1438,,adl
1.269803,-4.2747,0.0199,0.2603,-1.5457,-0.9321,-0.4424,9.5063,6.15,-40.1438,,adl
1.271374,-4.2747,0.0199,0.2603,-1.5457,-0.9321,-0.4424,9.5813,7.725,-39.45,,adl
1.290236,-4.2747,0.0199,0.2603,-1.5457,-0.9321,-0.4424,9.5813,7.725,-39.45,,adl
1.3314,-4.2747,0.0199,0.2603,-1.5457,-0.9321,-0.4424,8.7188,9.7875,-38.7188,,adl
1.332764,-4.2747,0.0199,0.2603,-1.0108,-2.9183,-0.4609,8.7188,9.7875,-38.7188,,adl
1.333601,-1.4248,0.8499,3.3072,-1.0108,-2.9183,-0.4609,8.7188,9.7875,-38.7188,,adl
1.349856,-1.4248,0.8499,3.3072,-1.0108,-2.9183,-0.4609,8.7188,9.7875,-38.7188,,adl
1.389947,-0.2589,0.9703,2.4999,-1.0108,-2.9183,-0.4609,8.7188,9.7875,-38.7188,,adl
1.390737,-0.2589,0.9703,2.4999,0.2229,-1.2524,0.5438,8.7188,9.7875,-38.7188,,adl
1.391161,-0.2589,0.9703,2.4999,0.2229,-1.2524,0.5438,15.6938,6.2438,-9.375,,adl
1.410199,-0.2589,0.9703,2.4999,0.2229,-1.2524,0.5438,15.6938,6.2438,-9.375,,adl
1.451165,-0.2589,0.9703,2.4999,0.2229,-1.2524,0.5438,14.2313,7.5938,-8.6813,,adl
1.45211,-0.2589,0.9703,2.4999,1.2251,-0.0297,1.165,14.2313,7.5938,-8.6813,,adl
1.471189,-0.2589,0.9703,2.4999,1.2251,-0.0297,1.165,14.2313,7.5938,-8.6813,,adl
1.47205,-0.58,0.3294,0.6889,1.2251,-0.0297,1.165,14.2313,7.5938,-8.6813,,adl
1.508911,-0.58,0.3294,0.6889,1.2251,-0.0297,1.165,13.05,8.1188,-8.0625,,adl
1.512816,-0.58,0.3294,0.6889,1.6486,-0.4184,1.8758,13.05,8.1188,-8.0625,,adl
1.532309,1.0852,-1.4211,-1.452,1.6486,-0.4184,1.8758,13.05,8.1188,-8.0625,,adl
1.533736,1.0852,-1.4211,-1.452,1.6486,-0.4184,1.8758,13.05,8.1188,-8.0625,,adl
1.569215,1.0852,-1.4211,-1.452,1.6486,-0.4184,1.8758,11.9625,7.9313,-7.7063,,adl
1.57262,1.0852,-1.4211,-1.452,1.6152,-1.088,2.0231,11.9625,7.9313,-7.7063,,adl
1.593387,3.2514,-2.3371,-2.3639,1.6152,-1.088,2.0231,11.9625,7.9313,-7.7063,,adl
1.594295,3.2514,-2.3371,-2.3639,1.6152,-1.088,2.0231,11.9625,7.9313,-7.7063,,adl
1.629879,3.2514,-2.3371,-2.3639,1.6152,-1.088,2.0231,5.0813,12.5813,-38.175,,adl
1.633921,3.2514,-2.3371,-2.3639,1.5183,-1.1838,1.7345,5.0813,12.5813,-38.175,,adl
1.652958,3.2514,-2.3371,-2.3639,1.5183,-1.1838,1.7345,5.0813,12.5813,-38.175,,adl
1.674495,4.0532,-2.5174,-3.9384,1.5183,-1.1838,1.7345,5.0813,12.5813,-38.175,,adl
1.6896,4.0532,-2.5174,-3.9384,1.5183,-1.1838,1.7345,4.5188,8.3438,-40.7438,,adl
1.696863,4.0532,-2.5174,-3.9384,1.273,-0.5047,1.3713,4.5188,8.3438,-40.7438,,adl
1.71476,4.0532,-2.5174,-3.9384,1.273,-0.5047,1.3713,4.5188,8.3438,-40.7438,,adl
1.735501,5.6169,-1.464,-3.6812,1.273,-0.5047,1.3713,4.5188,8.3438,-40.7438,,adl
1.749446,5.6169,-1.464,-3.6812,1.273,-0.5047,1.3713,1.7813,5.7188,-40.725,,adl
1.754485,5.6169,-1.464,-3.6812,0.8349,0.1928,0.624,1.7813,5.7188,-40.725,,adl
1.776419,5.6169,-1.464,-3.6812,0.8349,0.1928,0.624,1.7813,5.7188,-40.725,,adl
1.796249,5.4062,-0.4365,-4.8557,0.8349,0.1928,0.624,1.7813,5.7188,-40.725,,adl
1.809157,5.4062,-0.4365,-4.8557,0.8349,0.1928,0.624,0.1875,2.7188,-40.8,,adl
1.816056,5.4062,-0.4365,-4.8557,-0.0274,0.593,-0.1063,0.1875,2.7188,-40.8,,adl
1.836866,5.4062,-0.4365,-4.8557,-0.0274,0.593,-0.1063,0.1875,2.7188,-40.8,,adl
1.858156,-0.2615,-2.1963,0.881,-0.0274,0.593,-0.1063,0.1875,2.7188,-40.8,,adl
1.869319,-0.2615,-2.1963,0.881,-0.0274,0.593,-0.1063,-0.4875,-0.2063,-41.0063,,adl
1.878397,-0.2615,-2.1963,0.881,-0.1953,1.548,0.1955,-0.4875,-0.2063,-41.0063,,adl
1.898522,-0.2615,-2.1963,0.881,-0.1953,1.548,0.1955,-0.4875,-0.2063,-41.0063,,adl
1.929911,-0.2615,-2.1963,0.881,-0.1953,1.548,0.1955,-0.9,-2.3438,-41.0813,,adl
1.93802,-0.2615,-2.1963,0.881,-0.982,-0.2345,0.237,-0.9,-2.3438,-41.0813,,adl
1.938984,-1.3555,-0.4344,-0.8136,-0.982,-0.2345,0.237,-0.9,-2.3438,-41.0813,,adl
1.958307,-1.3555,-0.4344,-0.8136,-0.982,-0.2345,0.237,-0.9,-2.3438,-41.0813,,adl
1.99001,-1.3555,-0.4344,-0.8136,-0.982,-0.2345,0.237,-1.5188,-3.5813,-41.025,,adl
1.999865,-1.3555,-0.4344,-0.8136,-0.8041,0.3147,-0.0871,-1.5188,-3.5813,-41.025,,adl
2.000908,-1.6057,0.8566,-0.1306,-0.8041,0.3147,-0.0871,-1.5188,-3.5813,-41.025,,adl
2.019979,-1.6057,0.8566,-0.1306,-0.8041,0.3147,-0.0871,-1.5188,-3.5813,-41.025,,adl
2.049324,-1.6057,0.8566,-0.1306,-0.8041,0.3147,-0.0871,-1.9688,-3.8813,-40.9125,,adl
2.060411,-1.6057,0.8566,-0.1306,-0.6017,0.0089,-0.3121,-1.9688,-3.8813,-40.9125,,adl
2.062002,0.1128,-0.6233,0.4326,-0.6017,0.0089,-0.3121,-1.9688,-3.8813,-40.9125,,adl
2.079954,0.1128,-0.6233,0.4326,-0.6017,0.0089,-0.3121,-1.9688,-3.8813,-40.9125,,adl
2.10858,0.1128,-0.6233,0.4326,-0.6017,0.0089,-0.3121,-1.6875,-3.2625,-40.5188,,adl
2.120842,0.1128,-0.6233,0.4326,-0.3324,0.1623,-0.2802,-1.6875,-3.2625,-40.5188,,adl
2.142962,0.1128,-0.6233,0.4326,-0.3324,0.1623,-0.2802,-1.6875,-3.2625,-40.5188,,adl
2.143835,-1.049,0.4052,0.2698,-0.3324,0.1623,-0.2802,-1.6875,-3.2625,-40.5188,,adl
2.168726,-1.049,0.4052,0.2698,-0.3324,0.1623,-0.2802,-1.0312,-2.3438,-40.4625,,adl
2.181809,-1.049,0.4052,0.2698,-0.3284,0.2866,-0.3565,-1.0312,-2.3438,-40.4625,,adl
2.202364,-0.7179,0.3442,0.7071,-0.3284,0.2866,-0.3565,-1.0312,-2.3438,-40.4625,,adl
2.203618,-0.7179,0.3442,0.7071,-0.3284,0.2866,-0.3565,-1.0312,-2.3438,-40.4625,,adl
2.229961,-0.7179,0.3442,0.7071,-0.3284,0.2866,-0.3565,-0.0563,-1.0688,-40.3875,,adl
2.24344,-0.7179,0.3442,0.7071,-0.4123,0.1574,-0.3807,-0.0563,-1.0688,-40.3875,,adl
2.263865,-0.7179,0.3442,0.7071,-0.4123,0.1574,-0.3807,-0.0563,-1.0688,-40.3875,,adl
2.265396,-0.342,0.1054,0.3166,-0.4123,0.1574,-0.3807,-0.0563,-1.0688,-40.3875,,adl
2.290539,-0.342,0.1054,0.3166,-0.4123,0.1574,-0.3807,0.5438,0.1688,-40.2188,,adl
2.304102,-0.342,0.1054,0.3166,-0.3657,0.1921,-0.3356,0.5438,0.1688,-40.2188,,adl
2.326924,-0.342,0.1054,0.3166,-0.3657,0.1921,-0.3356,0.5438,0.1688,-40.2188,,adl
2.328658,-0.4788,0.1307,0.1892,-0.3657,0.1921,-0.3356,0.5438,0.1688,-40.2188,,adl
2.352046,-0.4788,0.1307,0.1892,-0.3657,0.1921,-0.3356,0.7688,1.5563,-39.9,,adl
2.366472,-0.4788,0.1307,0.1892,-0.42,0.1478,-0.4289,0.7688,1.5563,-39.9,,adl
2.387171,-0.4788,0.1307,0.1892,-0.42,0.1478,-0.4289,0.7688,1.5563,-39.9,,adl
2.406384,-0.7173,0.3206,0.5959,-0.42,0.1478,-0.4289,0.7688,1.5563,-39.9,,adl
2.410329,-0.7173,0.3206,0.5959,-0.42,0.1478,-0.4289,0.9375,2.8313,-39.5625,,adl
2.426115,-0.7173,0.3206,0.5959,-0.7172,0.1864,-0.7424,0.9375,2.8313,-39.5625,,adl
2.451646,-0.7173,0.3206,0.5959,-0.7172,0.1864,-0.7424,0.9375,2.8313,-39.5625,,adl
2.469041,-0.7173,0.3206,0.5959,-0.7172,0.1864,-0.7424,1.1063,4.0875,-39.15,,adl
2.471064,-1.0984,-0.0318,1.0647,-0.7172,0.1864,-0.7424,1.1063,4.0875,-39.15,,adl
2.488113,-1.0984,-0.0318,1.0647,-1.1144,0.381,-1.3498,1.1063,4.0875,-39.15,,adl
2.50758,-1.0984,-0.0318,1.0647,-1.1144,0.381,-1.3498,1.1063,4.0875,-39.15,,adl
2.530043,-2.4043,-1.1288,0.8353,-1.1144,0.381,-1.3498,1.1063,4.0875,-39.15,,adl
2.531861,-2.4043,-1.1288,0.8353,-1.1144,0.381,-1.3498,1.1813,5.2313,-38.4938,,adl
2.550634,-2.4043,-1.1288,0.8353,-1.2987,1.0473,-1.5018,1.1813,5.2313,-38.4938,,adl
2.569626,-2.4043,-1.1288,0.8353,-1.2987,1.0473,-1.5018,1.1813,5.2313,-38.4938,,adl
2.590841,-2.4043,-1.1288,0.8353,-1.2987,1.0473,-1.5018,1.4625,6.675,-37.7812,,adl
2.608594,-2.4043,-1.1288,0.8353,-1.2819,1.9043,-1.0449,1.4625,6.675,-37.7812,,adl
2.609698,-0.4669,-4.678,1.4079,-1.2819,1.9043,-1.0449,1.4625,6.675,-37.7812,,adl
2.629995,-0.4669,-4.678,1.4079,-1.2819,1.9043,-1.0449,1.4625,6.675,-37.7812,,adl
2.652782,-0.4669,-4.678,1.4079,-1.2819,1.9043,-1.0449,2.3813,8.8125,-36.8438,,adl
2.671695,-0.4669,-4.678,1.4079,-1.2876,1.7428,-0.6888,2.3813,8.8125,-36.8438,,adl
2.674546,-2.5203,-1.0537,2.6171,-1.2876,1.7428,-0.6888,2.3813,8.8125,-36.8438,,adl
2.693237,-2.5203,-1.0537,2.6171,-1.2876,1.7428,-0.6888,2.3813,8.8125,-36.8438,,adl
2.710131,-2.5203,-1.0537,2.6171,-1.2876,1.7428,-0.6888,3.3,11.2313,-35.85,,adl
2.731995,-2.5203,-1.0537,2.6171,-0.124,1.6185,-0.2013,3.3,11.2313,-35.85,,adl
2.734299,-2.8396,2.4737,4.2323,-0.124,1.6185,-0.2013,3.3,11.2313,-35.85,,adl
2.75262,-2.8396,2.4737,4.2323,-0.124,1.6185,-0.2013,3.3,11.2313,-35.85,,adl
2.770802,-2.8396,2.4737,4.2323,-0.124,1.6185,-0.2013,4.7625,13.2938,-34.8188,,adl
2.792982,-2.8396,2.4737,4.2323,1.1232,1.4112,1.0468,4.7625,13.2938,-34.8188,,adl
2.796499,-1.7096,2.1115,3.9389,1.1232,1.4112,1.0468,4.7625,13.2938,-34.8188,,adl
2.81155,-1.7096,2.1115,3.9389,1.1232,1.4112,1.0468,4.7625,13.2938,-34.8188,,adl
2.829613,-1.7096,2.1115,3.9389,1.1232,1.4112,1.0468,7.8188,15.4313,-35.6438,,adl
2.852481,-1.7096,2.1115,3.9389,1.6574,0.1077,1.5165,7.8188,15.4313,-35.6438,,adl
2.873228,-1.7096,2.1115,3.9389,1.6574,0.1077,1.5165,7.8188,15.4313,-35.6438,,adl
2.874763,0.7142,-0.7457,1.0875,1.6574,0.1077,1.5165,7.8188,15.4313,-35.6438,,adl
2.891818,0.7142,-0.7457,1.0875,1.6574,0.1077,1.5165,9.975,16.5375,-35.5875,,adl
2.913446,0.7142,-0.7457,1.0875,2.1633,0.5467,1.8513,9.975,16.5375,-35.5875,,adl
2.934215,0.7142,-0.7457,1.0875,2.1633,0.5467,1.8513,9.975,16.5375,-35.5875,,adl
2.936158,3.0207,-2.0416,-0.5831,2.1633,0.5467,1.8513,9.975,16.5375,-35.5875,,adl
2.950717,3.0207,-2.0416,-0.5831,2.1633,0.5467,1.8513,12.2813,18.9188,-37.0875,,adl
2.975398,3.0207,-2.0416,-0.5831,2.3823,0.6792,1.9928,12.2813,18.9188,-37.0875,,adl
2.995288,3.0207,-2.0416,-0.5831,2.3823,0.6792,1.9928,12.2813,18.9188,-37.0875,,adl
2.996868,2.157,-2.0337,-1.0582,2.3823,0.6792,1.9928,12.2813,18.9188,-37.0875,,adl
3.009518,2.157,-2.0337,-1.0582,2.3823,0.6792,1.9928,15.2625,17.175,-37.3313,,adl
3.035405,2.157,-2.0337,-1.0582,2.0522,-0.7674,1.6911,15.2625,17.175,-37.3313,,adl
3.055633,2.157,-2.0337,-1.0582,2.0522,-0.7674,1.6911,15.2625,17.175,-37.3313,,adl
3.069918,2.157,-2.0337,-1.0582,2.0522,-0.7674,1.6911,17.5125,13.9875,-37.8938,,adl
3.075431,2.4683,-2.3206,-3.0447,2.0522,-0.7674,1.6911,17.5125,13.9875,-37.8938,,adl
3.096228,2.4683,-2.3206,-3.0447,1.7331,-0.8501,1.2008,17.5125,13.9875,-37.8938,,adl
3.11712,2.4683,-2.3206,-3.0447,1.7331,-0.8501,1.2008,17.5125,13.9875,-37.8938,,adl
3.130482,2.4683,-2.3206,-3.0447,1.7331,-0.8501,1.2008,19.0312,9.6375,-38.7188,,adl
3.13655,3.8352,-1.7766,-4.9914,1.7331,-0.8501,1.2008,19.0312,9.6375,-38.7188,,adl
3.157336,3.8352,-1.7766,-4.9914,1.2659,0.3029,0.712,19.0312,9.6375,-38.7188,,adl
3.177331,3.8352,-1.7766,-4.9914,1.2659,0.3029,0.712,19.0312,9.6375,-38.7188,,adl
3.190126,3.8352,-1.7766,-4.9914,1.2659,0.3029,0.712,20.4375,4.275,-39.5438,,adl
3.196229,3.3663,-0.0131,-6.0966,1.2659,0.3029,0.712,20.4375,4.275,-39.5438,,adl
3.217959,3.3663,-0.0131,-6.0966,0.1728,0.7758,0.0369,20.4375,4.275,-39.5438,,adl
3.237966,3.3663,-0.0131,-6.0966,0.1728,0.7758,0.0369,20.4375,4.275,-39.5438,,adl
