time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,label
0.02904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,adl
0.054701,0.0,0.0,0.0,0.0,0.0,0.0,-33.375,-31.125,2.475,,adl
0.075031,0.0,0.0,0.0,0.0,0.0,0.0,-33.375,-31.125,2.475,,adl
0.076609,0.1268,-0.3001,1.0603,0.0,0.0,0.0,-33.375,-31.125,2.475,,adl
0.094925,0.1268,-0.3001,1.0603,0.0,0.0,0.0,-33.375,-31.125,2.475,,adl
0.096528,0.0638,-0.176,0.0956,0.0,0.0,0.0,-33.375,-31.125,2.475,,adl
0.100214,0.0638,-0.176,0.0956,0.0741,0.0547,-0.0046,-33.375,-31.125,2.475,,adl
0.118548,0.0638,-0.176,0.0956,0.0741,0.0547,-0.0046,-33.375,-31.125,2.475,,adl
0.120124,-0.0405,-0.0404,-0.435,0.0741,0.0547,-0.0046,-33.375,-31.125,2.475,,adl
0.125956,-0.0405,-0.0404,-0.435,0.0741,0.0547,-0.0046,-31.875,-30.75,1.875,,adl
0.135482,-0.0405,-0.0404,-0.435,0.0741,0.0547,-0.0046,-31.875,-30.75,1.875,,adl
0.137366,-0.022,-0.0418,0.0575,0.0741,0.0547,-0.0046,-31.875,-30.75,1.875,,adl
0.158678,-0.022,-0.0418,0.0575,0.0741,0.0547,-0.0046,-31.875,-30.75,1.875,,adl
0.160666,0.1107,-0.1412,0.5554,0.0741,0.0547,-0.0046,-31.875,-30.75,1.875,,adl
0.172715,0.1107,-0.1412,0.5554,-0.064,-0.0348,0.0023,-31.875,-30.75,1.875,,adl
0.174374,0.1107,-0.1412,0.5554,-0.064,-0.0348,0.0023,-31.875,-30.75,1.875,,adl
0.175502,0.1522,-0.1383,0.4976,-0.064,-0.0348,0.0023,-31.875,-30.75,1.875,,adl
0.192735,0.1522,-0.1383,0.4976,-0.064,-0.0348,0.0023,-31.875,-30.75,1.875,,adl
0.19535,0.0677,-0.0713,0.1458,-0.064,-0.0348,0.0023,-31.875,-30.75,1.875,,adl
0.197561,0.0677,-0.0713,0.1458,-0.064,-0.0348,0.0023,-31.8,-30.975,2.55,,adl
0.212171,0.0677,-0.0713,0.1458,-0.064,-0.0348,0.0023,-31.8,-30.975,2.55,,adl
0.214474,0.0295,-0.0354,-0.0374,-0.064,-0.0348,0.0023,-31.8,-30.975,2.55,,adl
0.227721,0.0295,-0.0354,-0.0374,-0.064,-0.0348,0.0023,-31.8,-30.975,2.55,,adl
0.229164,0.067,-0.0706,0.1311,-0.064,-0.0348,0.0023,-31.8,-30.975,2.55,,adl
0.240201,0.067,-0.0706,0.1311,-0.0174,-0.0174,-0.0014,-31.8,-30.975,2.55,,adl
0.253409,0.067,-0.0706,0.1311,-0.0174,-0.0174,-0.0014,-31.8,-30.975,2.55,,adl
0.254738,0.0477,-0.1341,0.3749,-0.0174,-0.0174,-0.0014,-31.8,-30.975,2.55,,adl
0.267762,0.0477,-0.1341,0.3749,-0.0174,-0.0174,-0.0014,-32.175,-31.05,1.65,,adl
0.27236,0.0477,-0.1341,0.3749,-0.0174,-0.0174,-0.0014,-32.175,-31.05,1.65,,adl
0.273785,0.1176,-0.1419,0.3265,-0.0174,-0.0174,-0.0014,-32.175,-31.05,1.65,,adl
0.290824,0.1176,-0.1419,0.3265,-0.0174,-0.0174,-0.0014,-32.175,-31.05,1.65,,adl
0.294875,0.1549,-0.1164,0.2436,-0.0174,-0.0174,-0.0014,-32.175,-31.05,1.65,,adl
0.305869,0.1549,-0.1164,0.2436,-0.017,-0.0133,-0.0003,-32.175,-31.05,1.65,,adl
0.311383,0.1549,-0.1164,0.2436,-0.017,-0.0133,-0.0003,-32.175,-31.05,1.65,,adl
0.312718,0.0768,-0.1173,-0.0151,-0.017,-0.0133,-0.0003,-32.175,-31.05,1.65,,adl
0.336067,0.0768,-0.1173,-0.0151,-0.017,-0.0133,-0.0003,-32.175,-31.05,1.65,,adl
0.337584,-0.0039,-0.0938,0.3341,-0.017,-0.0133,-0.0003,-32.175,-31.05,1.65,,adl
0.339046,-0.0039,-0.0938,0.3341,-0.017,-0.0133,-0.0003,-31.725,-30.45,2.475,,adl
0.35568,-0.0039,-0.0938,0.3341,-0.017,-0.0133,-0.0003,-31.725,-30.45,2.475,,adl
0.357708,0.0173,-0.0814,0.2671,-0.017,-0.0133,-0.0003,-31.725,-30.45,2.475,,adl
0.374031,0.0173,-0.0814,0.2671,-0.017,-0.0133,-0.0003,-31.725,-30.45,2.475,,adl
0.37737,0.087,-0.0714,0.1403,-0.017,-0.0133,-0.0003,-31.725,-30.45,2.475,,adl
0.379424,0.087,-0.0714,0.1403,-0.0173,0.0163,-0.0023,-31.725,-30.45,2.475,,adl
0.392838,0.087,-0.0714,0.1403,-0.0173,0.0163,-0.0023,-31.725,-30.45,2.475,,adl
0.395356,0.0011,-0.1156,0.1915,-0.0173,0.0163,-0.0023,-31.725,-30.45,2.475,,adl
0.404236,0.0011,-0.1156,0.1915,-0.0173,0.0163,-0.0023,-31.875,-30.45,1.95,,adl
0.415284,0.0011,-0.1156,0.1915,-0.0173,0.0163,-0.0023,-31.875,-30.45,1.95,,adl
0.41756,0.0221,-0.1264,0.3121,-0.0173,0.0163,-0.0023,-31.875,-30.45,1.95,,adl
0.426722,0.0221,-0.1264,0.3121,-0.0173,0.0163,-0.0023,-31.875,-30.45,1.95,,adl
0.428451,0.0789,-0.159,0.4327,-0.0173,0.0163,-0.0023,-31.875,-30.45,1.95,,adl
0.447245,0.0789,-0.159,0.4327,0.0214,-0.022,-0.0018,-31.875,-30.45,1.95,,adl
0.451362,0.0789,-0.159,0.4327,0.0214,-0.022,-0.0018,-31.875,-30.45,1.95,,adl
0.453183,0.0424,-0.1092,0.2706,0.0214,-0.022,-0.0018,-31.875,-30.45,1.95,,adl
0.471366,0.0424,-0.1092,0.2706,0.0214,-0.022,-0.0018,-31.875,-30.45,1.95,,adl
0.473814,0.0337,-0.033,0.0644,0.0214,-0.022,-0.0018,-31.875,-30.45,1.95,,adl
0.475666,0.0337,-0.033,0.0644,0.0214,-0.022,-0.0018,-31.95,-30.45,2.025,,adl
0.490777,0.0337,-0.033,0.0644,0.0214,-0.022,-0.0018,-31.95,-30.45,2.025,,adl
0.493649,0.0838,0.0078,0.0047,0.0214,-0.022,-0.0018,-31.95,-30.45,2.025,,adl
0.510488,0.0838,0.0078,0.0047,0.0214,-0.022,-0.0018,-31.95,-30.45,2.025,,adl
0.51279,0.052,-0.0163,0.1938,0.0214,-0.022,-0.0018,-31.95,-30.45,2.025,,adl
0.514689,0.052,-0.0163,0.1938,0.0203,-0.0005,0.0067,-31.95,-30.45,2.025,,adl
0.52753,0.052,-0.0163,0.1938,0.0203,-0.0005,0.0067,-31.95,-30.45,2.025,,adl
0.530347,0.01,-0.0966,0.3166,0.0203,-0.0005,0.0067,-31.95,-30.45,2.025,,adl
0.544709,0.01,-0.0966,0.3166,0.0203,-0.0005,0.0067,-32.25,-30.975,2.025,,adl
0.546626,0.01,-0.0966,0.3166,0.0203,-0.0005,0.0067,-32.25,-30.975,2.025,,adl
0.54781,0.0436,-0.1434,0.2303,0.0203,-0.0005,0.0067,-32.25,-30.975,2.025,,adl
