time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,label
0.059822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,adl
0.07688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,adl
0.079244,0.0,0.0,0.0,0.0,0.0,0.0,-13.8,8.325,-41.85,,adl
0.100119,0.0,0.0,0.0,0.0,0.0,0.0,-13.8,8.325,-41.85,,adl
0.101821,-0.0018,0.0093,-0.0201,0.0,0.0,0.0,-13.8,8.325,-41.85,,adl
0.119357,-0.0018,0.0093,-0.0201,0.0,0.0,0.0,-13.8,8.325,-41.85,,adl
0.121119,-0.0215,0.0418,-0.0101,0.0,0.0,0.0,-13.8,8.325,-41.85,,adl
0.122672,-0.0215,0.0418,-0.0101,0.0279,0.0223,-0.014,-13.8,8.325,-41.85,,adl
0.142765,-0.0215,0.0418,-0.0101,0.0279,0.0223,-0.014,-13.8,8.325,-41.85,,adl
0.145831,0.0411,0.0661,-0.0016,0.0279,0.0223,-0.014,-13.8,8.325,-41.85,,adl
0.14854,0.0411,0.0661,-0.0016,0.0279,0.0223,-0.014,-14.55,7.425,-42.45,,adl
0.159364,0.0411,0.0661,-0.0016,0.0279,0.0223,-0.014,-14.55,7.425,-42.45,,adl
0.161625,0.1339,0.1251,-0.3288,0.0279,0.0223,-0.014,-14.55,7.425,-42.45,,adl
0.176819,0.1339,0.1251,-0.3288,0.0279,0.0223,-0.014,-14.55,7.425,-42.45,,adl
0.178988,0.0189,0.1195,0.2316,0.0279,0.0223,-0.014,-14.55,7.425,-42.45,,adl
0.190344,0.0189,0.1195,0.2316,-0.0003,0.0257,-0.0229,-14.55,7.425,-42.45,,adl
0.195204,0.0189,0.1195,0.2316,-0.0003,0.0257,-0.0229,-14.55,7.425,-42.45,,adl
0.196594,0.1453,-0.0825,0.3003,-0.0003,0.0257,-0.0229,-14.55,7.425,-42.45,,adl
0.214993,0.1453,-0.0825,0.3003,-0.0003,0.0257,-0.0229,-14.55,7.425,-42.45,,adl
0.217931,0.056,0.0481,-0.3462,-0.0003,0.0257,-0.0229,-14.55,7.425,-42.45,,adl
0.220079,0.056,0.0481,-0.3462,-0.0003,0.0257,-0.0229,-14.85,8.175,-42.0,,adl
0.23803,0.056,0.0481,-0.3462,-0.0003,0.0257,-0.0229,-14.85,8.175,-42.0,,adl
0.240496,-0.0085,0.1315,0.1607,-0.0003,0.0257,-0.0229,-14.85,8.175,-42.0,,adl
0.257707,-0.0085,0.1315,0.1607,-0.0003,0.0257,-0.0229,-14.85,8.175,-42.0,,adl
0.259895,0.0719,0.0233,0.1853,-0.0003,0.0257,-0.0229,-14.85,8.175,-42.0,,adl
0.261675,0.0719,0.0233,0.1853,-0.004,0.0654,-0.0408,-14.85,8.175,-42.0,,adl
