time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,label
0.020281,0.0,0.0,0.0,-0.5374,-1.0072,-0.1992,0.0,0.0,0.0,,adl
0.0392,0.0,0.0,0.0,-0.5374,-1.0072,-0.1992,32.76,-32.22,-3.9,,adl
0.039946,0.0,0.0,0.0,-0.5374,-1.0072,-0.1992,32.76,-32.22,-3.9,,adl
0.054676,0.0,0.0,0.0,-0.5374,-1.0072,-0.1992,32.76,-32.22,-3.9,,adl
0.058888,0.0,0.0,0.0,-0.5374,-1.0072,-0.1992,32.76,-32.22,-3.9,,adl
0.079541,0.0,0.0,0.0,0.2567,0.4037,0.0501,32.76,-32.22,-3.9,,adl
0.100959,0.0,0.0,0.0,0.2567,0.4037,0.0501,16.86,-16.8,-22.26,,adl
0.101833,0.0,0.0,0.0,0.1475,0.0469,0.0463,16.86,-16.8,-22.26,,adl
0.116581,0.0,0.0,0.0,0.1475,0.0469,0.0463,16.86,-16.8,-22.26,,adl
0.117266,-0.0551,-0.1574,0.0129,0.1475,0.0469,0.0463,16.86,-16.8,-22.26,,adl
0.120816,-0.0551,-0.1574,0.0129,0.0032,-0.0383,0.0037,16.86,-16.8,-22.26,,adl
0.141,-0.0551,-0.1574,0.0129,-0.073,-0.032,-0.008,16.86,-16.8,-22.26,,adl
0.162099,-0.0551,-0.1574,0.0129,-0.073,-0.032,-0.008,8.94,-8.82,-31.5,,adl
0.163084,-0.0551,-0.1574,0.0129,-0.1087,-0.0666,-0.0117,8.94,-8.82,-31.5,,adl
0.177976,-0.0551,-0.1574,0.0129,-0.1087,-0.0666,-0.0117,8.94,-8.82,-31.5,,adl
0.178676,0.16,-0.0688,-0.1078,-0.1087,-0.0666,-0.0117,8.94,-8.82,-31.5,,adl
0.182424,0.16,-0.0688,-0.1078,-0.0767,-0.0953,-0.0027,8.94,-8.82,-31.5,,adl
0.202971,0.16,-0.0688,-0.1078,0.0144,-0.0442,0.024,8.94,-8.82,-31.5,,adl
0.224166,0.16,-0.0688,-0.1078,0.0144,-0.0442,0.024,0.66,-0.72,-40.62,,adl
0.225075,0.16,-0.0688,-0.1078,0.0884,0.0778,0.024,0.66,-0.72,-40.62,,adl
0.240311,0.16,-0.0688,-0.1078,0.0884,0.0778,0.024,0.66,-0.72,-40.62,,adl
0.241043,0.0879,-0.1107,0.0587,0.0884,0.0778,0.024,0.66,-0.72,-40.62,,adl
0.24431,0.0879,-0.1107,0.0587,0.0703,0.0719,0.0107,0.66,-0.72,-40.62,,adl
0.263948,0.0879,-0.1107,0.0587,-0.0128,-0.025,-0.0048,0.66,-0.72,-40.62,,adl
0.285569,0.0879,-0.1107,0.0587,-0.0128,-0.025,-0.0048,0.42,-0.54,-40.44,,adl
0.286367,0.0879,-0.1107,0.0587,-0.0756,-0.0511,-0.0101,0.42,-0.54,-40.44,,adl
0.301031,0.0879,-0.1107,0.0587,-0.0756,-0.0511,-0.0101,0.42,-0.54,-40.44,,adl
0.301565,-0.0106,-0.0678,-0.0441,-0.0756,-0.0511,-0.0101,0.42,-0.54,-40.44,,adl
0.305086,-0.0106,-0.0678,-0.0441,-0.0485,-0.0229,0.0107,0.42,-0.54,-40.44,,adl
0.32596,-0.0106,-0.0678,-0.0441,0.0144,-0.0043,0.0202,0.42,-0.54,-40.44,,adl
0.346962,-0.0106,-0.0678,-0.0441,0.0144,-0.0043,0.0202,0.3,-0.78,-40.62,,adl
0.347749,-0.0106,-0.0678,-0.0441,0.057,0.0011,0.0165,0.3,-0.78,-40.62,,adl
0.362539,-0.0106,-0.0678,-0.0441,0.057,0.0011,0.0165,0.3,-0.78,-40.62,,adl
0.363095,0.2317,0.3849,0.0552,0.057,0.0011,0.0165,0.3,-0.78,-40.62,,adl
0.366656,0.2317,0.3849,0.0552,0.0575,0.017,0.0117,0.3,-0.78,-40.62,,adl
0.38763,0.2317,0.3849,0.0552,0.0314,0.1007,0.0149,0.3,-0.78,-40.62,,adl
0.408707,0.2317,0.3849,0.0552,0.0314,0.1007,0.0149,0.3,-0.66,-40.8,,adl
0.409471,0.2317,0.3849,0.0552,0.0123,0.1076,0.0144,0.3,-0.66,-40.8,,adl
0.424378,0.2317,0.3849,0.0552,0.0123,0.1076,0.0144,0.3,-0.66,-40.8,,adl
0.425077,-0.1381,-0.2486,-0.0201,0.0123,0.1076,0.0144,0.3,-0.66,-40.8,,adl
0.428879,-0.1381,-0.2486,-0.0201,0.0037,0.0011,-0.0048,0.3,-0.66,-40.8,,adl
0.448985,-0.1381,-0.2486,-0.0201,-0.0064,-0.0245,0.0043,0.3,-0.66,-40.8,,adl
0.470252,-0.1381,-0.2486,-0.0201,-0.0064,-0.0245,0.0043,0.48,-0.78,-41.22,,adl
0.471071,-0.1381,-0.2486,-0.0201,0.008,0.0133,-0.0005,0.48,-0.78,-41.22,,adl
0.486872,-0.1381,-0.2486,-0.0201,0.008,0.0133,-0.0005,0.48,-0.78,-41.22,,adl
0.487785,0.0155,-0.1477,0.1189,0.008,0.0133,-0.0005,0.48,-0.78,-41.22,,adl
0.490792,0.0155,-0.1477,0.1189,0.0426,0.0655,0.0133,0.48,-0.78,-41.22,,adl
0.510878,0.0155,-0.1477,0.1189,0.0565,0.049,0.016,0.48,-0.78,-41.22,,adl
0.532736,0.0155,-0.1477,0.1189,0.0565,0.049,0.016,0.9,-0.72,-41.04,,adl
0.533978,0.0155,-0.1477,0.1189,0.0314,0.016,0.0165,0.9,-0.72,-41.04,,adl
0.548943,0.0155,-0.1477,0.1189,0.0314,0.016,0.0165,0.9,-0.72,-41.04,,adl
0.550009,-0.0697,-0.0877,0.0386,0.0314,0.016,0.0165,0.9,-0.72,-41.04,,adl
0.551972,-0.0697,-0.0877,0.0386,-0.0069,0.0075,0.0091,0.9,-0.72,-41.04,,adl
0.572425,-0.0697,-0.0877,0.0386,-0.0021,-0.0053,0.0112,0.9,-0.72,-41.04,,adl
0.593623,-0.0697,-0.0877,0.0386,-0.0021,-0.0053,0.0112,1.2,-0.84,-40.62,,adl
0.594896,-0.0697,-0.0877,0.0386,0.0256,0.0,0.0107,1.2,-0.84,-40.62,,adl
0.609623,-0.0697,-0.0877,0.0386,0.0256,0.0,0.0107,1.2,-0.84,-40.62,,adl
0.610777,0.0242,-0.068,0.0041,0.0256,0.0,0.0107,1.2,-0.84,-40.62,,adl
0.613364,0.0242,-0.068,0.0041,0.0314,0.0245,0.0,1.2,-0.84,-40.62,,adl
0.63351,0.0242,-0.068,0.0041,0.0069,0.0261,-0.0027,1.2,-0.84,-40.62,,adl
0.655407,0.0242,-0.068,0.0041,0.0069,0.0261,-0.0027,1.26,-0.66,-40.44,,adl
0.656408,0.0242,-0.068,0.0041,-0.0128,0.0144,0.0005,1.26,-0.66,-40.44,,adl
0.670222,0.0242,-0.068,0.0041,-0.0128,0.0144,0.0005,1.26,-0.66,-40.44,,adl
0.671271,-0.0233,-0.0682,-0.0184,-0.0128,0.0144,0.0005,1.26,-0.66,-40.44,,adl
0.674676,-0.0233,-0.0682,-0.0184,-0.0069,-0.0053,0.0037,1.26,-0.66,-40.44,,adl
0.695614,-0.0233,-0.0682,-0.0184,0.0085,-0.0075,0.0085,1.26,-0.66,-40.44,,adl
0.716778,-0.0233,-0.0682,-0.0184,0.0085,-0.0075,0.0085,1.2,-0.78,-40.44,,adl
0.717834,-0.0233,-0.0682,-0.0184,0.0011,0.0213,0.0021,1.2,-0.78,-40.44,,adl
0.732914,-0.0233,-0.0682,-0.0184,0.0011,0.0213,0.0021,1.2,-0.78,-40.44,,adl
0.734002,-0.0159,-0.1001,-0.0299,0.0011,0.0213,0.0021,1.2,-0.78,-40.44,,adl
0.736613,-0.0159,-0.1001,-0.0299,-0.0149,0.0442,0.0021,1.2,-0.78,-40.44,,adl
0.757191,-0.0159,-0.1001,-0.0299,-0.0037,0.0218,-0.0021,1.2,-0.78,-40.44,,adl
0.778249,-0.0159,-0.1001,-0.0299,-0.0037,0.0218,-0.0021,1.32,-1.2,-41.04,,adl
0.779494,-0.0159,-0.1001,-0.0299,0.0197,0.0133,-0.0101,1.32,-1.2,-41.04,,adl
0.794899,-0.0159,-0.1001,-0.0299,0.0197,0.0133,-0.0101,1.32,-1.2,-41.04,,adl
0.796554,-0.0898,-0.0161,-0.0057,0.0197,0.0133,-0.0101,1.32,-1.2,-41.04,,adl
0.798984,-0.0898,-0.0161,-0.0057,0.0298,0.0357,-0.0069,1.32,-1.2,-41.04,,adl
0.819587,-0.0898,-0.0161,-0.0057,0.0293,0.0368,0.0016,1.32,-1.2,-41.04,,adl
0.841008,-0.0898,-0.0161,-0.0057,0.0293,0.0368,0.0016,0.84,-1.26,-41.1,,adl
0.842903,-0.0898,-0.0161,-0.0057,0.0186,0.0224,0.0075,0.84,-1.26,-41.1,,adl
0.856041,-0.0898,-0.0161,-0.0057,0.0186,0.0224,0.0075,0.84,-1.26,-41.1,,adl
0.857419,-0.0749,-0.0686,-0.0109,0.0186,0.0224,0.0075,0.84,-1.26,-41.1,,adl
0.861472,-0.0749,-0.0686,-0.0109,0.0069,0.0192,0.008,0.84,-1.26,-41.1,,adl
0.880275,-0.0749,-0.0686,-0.0109,0.0016,0.0144,0.0037,0.84,-1.26,-41.1,,adl
0.901623,-0.0749,-0.0686,-0.0109,0.0016,0.0144,0.0037,0.6,-1.5,-40.56,,adl
0.902576,-0.0749,-0.0686,-0.0109,0.0043,0.0245,-0.0043,0.6,-1.5,-40.56,,adl
0.917354,-0.0749,-0.0686,-0.0109,0.0043,0.0245,-0.0043,0.6,-1.5,-40.56,,adl
0.918397,0.1071,-0.0904,-0.0833,0.0043,0.0245,-0.0043,0.6,-1.5,-40.56,,adl
0.921376,0.1071,-0.0904,-0.0833,0.0123,0.0309,-0.0107,0.6,-1.5,-40.56,,adl
0.941935,0.1071,-0.0904,-0.0833,0.0234,0.0511,-0.0128,0.6,-1.5,-40.56,,adl
0.963112,0.1071,-0.0904,-0.0833,0.0234,0.0511,-0.0128,1.02,-1.2,-40.32,,adl
0.964288,0.1071,-0.0904,-0.0833,0.016,0.065,-0.0133,1.02,-1.2,-40.32,,adl
0.978565,0.1071,-0.0904,-0.0833,0.016,0.065,-0.0133,1.02,-1.2,-40.32,,adl
0.979458,-0.1287,-0.0295,0.0474,0.016,0.065,-0.0133,1.02,-1.2,-40.32,,adl
0.982566,-0.1287,-0.0295,0.0474,0.0016,0.0378,-0.0064,1.02,-1.2,-40.32,,adl
1.003783,-0.1287,-0.0295,0.0474,-0.0048,0.0037,-0.0016,1.02,-1.2,-40.32,,adl
1.024782,-0.1287,-0.0295,0.0474,-0.0048,0.0037,-0.0016,0.72,-0.96,-40.14,,adl
1.027482,-0.1287,-0.0295,0.0474,-0.0021,0.0144,-0.0005,0.72,-0.96,-40.14,,adl
1.040411,-0.1287,-0.0295,0.0474,-0.0021,0.0144,-0.0005,0.72,-0.96,-40.14,,adl
1.042792,-0.068,-0.0558,0.0203,-0.0021,0.0144,-0.0005,0.72,-0.96,-40.14,,adl
1.044578,-0.068,-0.0558,0.0203,-0.0075,0.0399,-0.0005,0.72,-0.96,-40.14,,adl
1.066822,-0.068,-0.0558,0.0203,0.0021,0.0149,-0.0011,0.72,-0.96,-40.14,,adl
1.086337,-0.068,-0.0558,0.0203,0.0021,0.0149,-0.0011,1.2,-0.9,-40.38,,adl
1.088069,-0.068,-0.0558,0.0203,0.0192,-0.0091,-0.0011,1.2,-0.9,-40.38,,adl
1.102205,-0.068,-0.0558,0.0203,0.0192,-0.0091,-0.0011,1.2,-0.9,-40.38,,adl
1.103393,0.0657,-0.0533,0.0224,0.0192,-0.0091,-0.0011,1.2,-0.9,-40.38,,adl
1.106672,0.0657,-0.0533,0.0224,0.0234,0.0325,-0.0037,1.2,-0.9,-40.38,,adl
1.12681,0.0657,-0.0533,0.0224,0.016,0.0314,-0.0043,1.2,-0.9,-40.38,,adl
1.148637,0.0657,-0.0533,0.0224,0.016,0.0314,-0.0043,1.14,-1.08,-40.62,,adl
1.149632,0.0657,-0.0533,0.0224,0.016,0.016,-0.0064,1.14,-1.08,-40.62,,adl
1.163505,0.0657,-0.0533,0.0224,0.016,0.016,-0.0064,1.14,-1.08,-40.62,,adl
1.164422,0.0238,-0.1219,-0.0771,0.016,0.016,-0.0064,1.14,-1.08,-40.62,,adl
1.168134,0.0238,-0.1219,-0.0771,0.0186,0.0426,-0.0053,1.14,-1.08,-40.62,,adl
1.1882,0.0238,-0.1219,-0.0771,0.0352,0.0352,0.0011,1.14,-1.08,-40.62,,adl
1.20975,0.0238,-0.1219,-0.0771,0.0352,0.0352,0.0011,1.08,-1.14,-40.2,,adl
1.210686,0.0238,-0.1219,-0.0771,0.0474,0.0453,0.0048,1.08,-1.14,-40.2,,adl
1.225314,0.0238,-0.1219,-0.0771,0.0474,0.0453,0.0048,1.08,-1.14,-40.2,,adl
