time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,label
0.042753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,adl
0.051664,0.0,0.0,0.0,0.0,0.0,0.0,-12.7002,6.0756,-42.151,,adl
0.078911,0.0,0.0,0.0,-0.0491,0.0434,0.0083,-12.7002,6.0756,-42.151,,adl
0.101743,0.0,0.0,0.0,-0.0491,0.0434,0.0083,-12.7002,6.0756,-42.151,,adl
0.102689,0.0,0.0,0.0,-0.0491,0.0434,0.0083,-12.7002,6.0756,-42.151,,adl
0.103322,0.0,0.0,0.0,-0.0491,0.0434,0.0083,-12.7002,6.0756,-42.151,,adl
0.118947,0.0,0.0,0.0,-0.0491,0.0434,0.0083,-12.8222,6.283,-42.3706,,adl
0.148855,0.0,0.0,0.0,-0.0835,0.0421,-0.0218,-12.8222,6.283,-42.3706,,adl
0.158585,0.0,0.0,0.0,-0.0835,0.0421,-0.0218,-12.8222,6.283,-42.3706,,adl
0.169178,0.0,0.0,0.0,-0.0835,0.0421,-0.0218,-12.8222,6.283,-42.3706,,adl
0.170102,0.0,0.0,0.0,-0.0835,0.0421,-0.0218,-12.8222,6.283,-42.3706,,adl
0.170912,0.0,0.0,0.0,-0.0835,0.0421,-0.0218,-12.8222,6.283,-42.3706,,adl
0.171692,0.0,0.0,0.0,-0.0835,0.0421,-0.0218,-12.8222,6.283,-42.3706,,adl
0.178362,0.0,0.0,0.0,-0.0835,0.0421,-0.0218,-12.8222,6.466,-42.5414,,adl
0.220248,0.0,0.0,0.0,-0.0711,-0.019,-0.0202,-12.8222,6.466,-42.5414,,adl
0.228199,-0.1099,0.0005,0.0248,-0.0711,-0.019,-0.0202,-12.8222,6.466,-42.5414,,adl
0.23389,-0.1099,0.0005,0.0248,-0.0711,-0.019,-0.0202,-12.8222,6.466,-42.5414,,adl
0.23497,-0.1099,0.0005,0.0248,-0.0711,-0.019,-0.0202,-12.8222,6.466,-42.5414,,adl
0.235905,-0.1099,0.0005,0.0248,-0.0711,-0.019,-0.0202,-12.8222,6.466,-42.5414,,adl
0.236832,-0.1099,0.0005,0.0248,-0.0711,-0.019,-0.0202,-12.871,6.6246,-42.639,,adl
0.289189,-0.1099,0.0005,0.0248,-0.0498,-0.0826,0.0138,-12.871,6.6246,-42.639,,adl
0.298893,-0.1099,0.0005,0.0248,-0.0498,-0.0826,0.0138,-12.871,6.7222,-42.6878,,adl
0.300057,-0.0804,-0.0125,0.0331,-0.0498,-0.0826,0.0138,-12.871,6.7222,-42.6878,,adl
0.30114,-0.0804,-0.0125,0.0331,-0.0498,-0.0826,0.0138,-12.871,6.7222,-42.6878,,adl
0.302052,-0.0804,-0.0125,0.0331,-0.0498,-0.0826,0.0138,-12.871,6.7222,-42.6878,,adl
0.302848,-0.0804,-0.0125,0.0331,-0.0498,-0.0826,0.0138,-12.871,6.7222,-42.6878,,adl
0.358696,-0.0804,-0.0125,0.0331,-0.0398,-0.0975,0.032,-12.871,6.7222,-42.6878,,adl
0.360256,-0.0804,-0.0125,0.0331,-0.0398,-0.0975,0.032,-12.9808,6.8076,-42.6878,,adl
0.368348,-0.0578,-0.0254,-0.0075,-0.0398,-0.0975,0.032,-12.9808,6.8076,-42.6878,,adl
0.369758,-0.0578,-0.0254,-0.0075,-0.0398,-0.0975,0.032,-12.9808,6.8076,-42.6878,,adl
0.370567,-0.0578,-0.0254,-0.0075,-0.0398,-0.0975,0.032,-12.9808,6.8076,-42.6878,,adl
0.371331,-0.0578,-0.0254,-0.0075,-0.0398,-0.0975,0.032,-12.9808,6.8076,-42.6878,,adl
0.372084,-0.0578,-0.0254,-0.0075,-0.0398,-0.0975,0.032,-12.9808,6.8076,-42.6878,,adl
0.418594,-0.0578,-0.0254,-0.0075,-0.0398,-0.0975,0.032,-13.1394,6.8686,-42.6634,,adl
