time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 13,label
0.026127,0.0,0.0,0.0,0.0652,0.1673,-0.2948,0.0,0.0,0.0,0.0,0.0,0.0,,adl
0.034589,-0.025,-0.0959,0.9574,0.0652,0.1673,-0.2948,0.0,0.0,0.0,0.0,0.0,0.0,,adl
0.044932,-0.025,-0.0959,0.9574,0.2728,0.071,-0.5651,0.0,0.0,0.0,0.0,0.0,0.0,,adl
0.06261,-0.025,-0.0959,0.9574,0.2728,0.071,-0.5651,0.0,0.0,0.0,2.175,-43.3125,-12.0563,,adl
0.064729,-0.025,-0.0959,0.9574,0.2729,0.0472,-0.4986,0.0,0.0,0.0,2.175,-43.3125,-12.0563,,adl
0.068203,-0.025,-0.0959,0.9574,0.2729,0.0472,-0.4986,-0.1041,-0.1609,0.0293,2.175,-43.3125,-12.0563,,adl
0.083722,-0.0028,-0.0933,0.9848,0.2729,0.0472,-0.4986,-0.1041,-0.1609,0.0293,2.175,-43.3125,-12.0563,,adl
0.085171,-0.0028,-0.0933,0.9848,0.2761,0.1776,-0.0825,-0.1041,-0.1609,0.0293,2.175,-43.3125,-12.0563,,adl
0.102243,-0.0028,-0.0933,0.9848,0.3682,0.0678,0.4932,-0.1041,-0.1609,0.0293,2.175,-43.3125,-12.0563,,adl
0.122102,-0.0028,-0.0933,0.9848,0.2576,0.0131,0.6255,-0.1041,-0.1609,0.0293,2.175,-43.3125,-12.0563,,adl
0.126374,-0.0028,-0.0933,0.9848,0.2576,0.0131,0.6255,-0.1041,-0.1609,0.0293,2.2688,-43.2,-12.5625,,adl
0.132656,-0.0059,-0.1169,1.0537,0.2576,0.0131,0.6255,-0.1041,-0.1609,0.0293,2.2688,-43.2,-12.5625,,adl
0.133758,-0.0059,-0.1169,1.0537,0.2576,0.0131,0.6255,-0.0784,0.0041,0.0012,2.2688,-43.2,-12.5625,,adl
0.140203,-0.0059,-0.1169,1.0537,0.1756,-0.0201,0.5599,-0.0784,0.0041,0.0012,2.2688,-43.2,-12.5625,,adl
0.15921,-0.0059,-0.1169,1.0537,0.0807,-0.0607,0.3522,-0.0784,0.0041,0.0012,2.2688,-43.2,-12.5625,,adl
0.17917,-0.0282,-0.1277,1.0125,0.0807,-0.0607,0.3522,-0.0784,0.0041,0.0012,2.2688,-43.2,-12.5625,,adl
0.184842,-0.0282,-0.1277,1.0125,0.0224,-0.0804,0.1971,-0.0784,0.0041,0.0012,2.2688,-43.2,-12.5625,,adl
0.187969,-0.0282,-0.1277,1.0125,0.0224,-0.0804,0.1971,-0.0784,0.0041,0.0012,2.3438,-42.6,-12.5625,,adl
0.191603,-0.0282,-0.1277,1.0125,0.0224,-0.0804,0.1971,0.0352,0.1434,0.006,2.3438,-42.6,-12.5625,,adl
0.198081,-0.0282,-0.1277,1.0125,-0.1001,-0.0657,0.152,0.0352,0.1434,0.006,2.3438,-42.6,-12.5625,,adl
0.218088,-0.0282,-0.1277,1.0125,-0.2524,-0.0371,0.0514,0.0352,0.1434,0.006,2.3438,-42.6,-12.5625,,adl
0.225847,-0.0648,-0.1204,0.9897,-0.2524,-0.0371,0.0514,0.0352,0.1434,0.006,2.3438,-42.6,-12.5625,,adl
0.237953,-0.0648,-0.1204,0.9897,-0.2744,-0.0579,-0.1192,0.0352,0.1434,0.006,2.3438,-42.6,-12.5625,,adl
0.244727,-0.0648,-0.1204,0.9897,-0.2744,-0.0579,-0.1192,0.0352,0.1434,0.006,2.25,-42.6188,-12.2438,,adl
0.254174,-0.0648,-0.1204,0.9897,-0.2744,-0.0579,-0.1192,0.045,-0.0203,0.0513,2.25,-42.6188,-12.2438,,adl
0.255726,-0.0648,-0.1204,0.9897,-0.2215,0.0079,-0.1392,0.045,-0.0203,0.0513,2.25,-42.6188,-12.2438,,adl
0.273615,-0.0448,-0.1157,0.9956,-0.2215,0.0079,-0.1392,0.045,-0.0203,0.0513,2.25,-42.6188,-12.2438,,adl
0.27513,-0.0448,-0.1157,0.9956,-0.0771,0.0026,0.03,0.045,-0.0203,0.0513,2.25,-42.6188,-12.2438,,adl
0.294203,-0.0448,-0.1157,0.9956,0.0892,0.0045,-0.0522,0.045,-0.0203,0.0513,2.25,-42.6188,-12.2438,,adl
0.303678,-0.0448,-0.1157,0.9956,0.0892,0.0045,-0.0522,0.045,-0.0203,0.0513,2.175,-43.1813,-12.5625,,adl
0.312423,-0.0448,-0.1157,0.9956,0.2225,0.0309,-0.0457,0.045,-0.0203,0.0513,2.175,-43.1813,-12.5625,,adl
0.31732,-0.0448,-0.1157,0.9956,0.2225,0.0309,-0.0457,0.0071,-0.0289,0.066,2.175,-43.1813,-12.5625,,adl
0.321383,-0.0084,-0.1094,0.9944,0.2225,0.0309,-0.0457,0.0071,-0.0289,0.066,2.175,-43.1813,-12.5625,,adl
0.332088,-0.0084,-0.1094,0.9944,0.2319,0.0914,0.0975,0.0071,-0.0289,0.066,2.175,-43.1813,-12.5625,,adl
0.35138,-0.0084,-0.1094,0.9944,0.216,0.0785,0.1662,0.0071,-0.0289,0.066,2.175,-43.1813,-12.5625,,adl
0.364086,-0.0084,-0.1094,0.9944,0.216,0.0785,0.1662,0.0071,-0.0289,0.066,2.0813,-43.1063,-12.15,,adl
0.369718,-0.0096,-0.1038,0.9926,0.216,0.0785,0.1662,0.0071,-0.0289,0.066,2.0813,-43.1063,-12.15,,adl
0.373062,-0.0096,-0.1038,0.9926,0.2169,0.1014,-0.0026,0.0071,-0.0289,0.066,2.0813,-43.1063,-12.15,,adl
0.378191,-0.0096,-0.1038,0.9926,0.2169,0.1014,-0.0026,0.0426,0.0004,0.033,2.0813,-43.1063,-12.15,,adl
0.388858,-0.0096,-0.1038,0.9926,0.2222,0.1111,-0.0564,0.0426,0.0004,0.033,2.0813,-43.1063,-12.15,,adl
0.409475,-0.0096,-0.1038,0.9926,0.2272,0.0728,-0.0594,0.0426,0.0004,0.033,2.0813,-43.1063,-12.15,,adl
0.417818,-0.0087,-0.1059,0.99,0.2272,0.0728,-0.0594,0.0426,0.0004,0.033,2.0813,-43.1063,-12.15,,adl
0.422958,-0.0087,-0.1059,0.99,0.2272,0.0728,-0.0594,0.0426,0.0004,0.033,1.6688,-43.1438,-11.4,,adl
0.429285,-0.0087,-0.1059,0.99,0.2019,0.0659,0.0221,0.0426,0.0004,0.033,1.6688,-43.1438,-11.4,,adl
0.440823,-0.0087,-0.1059,0.99,0.2019,0.0659,0.0221,-0.0038,0.0494,-0.0122,1.6688,-43.1438,-11.4,,adl
0.446626,-0.0087,-0.1059,0.99,0.1673,-0.0022,0.0296,-0.0038,0.0494,-0.0122,1.6688,-43.1438,-11.4,,adl
0.46486,-0.0194,-0.1094,0.99,0.1673,-0.0022,0.0296,-0.0038,0.0494,-0.0122,1.6688,-43.1438,-11.4,,adl
0.468674,-0.0194,-0.1094,0.99,0.1391,0.0322,-0.03,-0.0038,0.0494,-0.0122,1.6688,-43.1438,-11.4,,adl
0.484491,-0.0194,-0.1094,0.99,0.1391,0.0322,-0.03,-0.0038,0.0494,-0.0122,1.9688,-43.0125,-12.0375,,adl
0.485935,-0.0194,-0.1094,0.99,0.1372,-0.0021,-0.008,-0.0038,0.0494,-0.0122,1.9688,-43.0125,-12.0375,,adl
0.503272,-0.0194,-0.1094,0.99,0.1372,-0.0021,-0.008,0.0034,0.0701,-0.0428,1.9688,-43.0125,-12.0375,,adl
0.504594,-0.0194,-0.1094,0.99,0.1109,0.0261,-0.0675,0.0034,0.0701,-0.0428,1.9688,-43.0125,-12.0375,,adl
0.512416,-0.0333,-0.1035,0.9923,0.1109,0.0261,-0.0675,0.0034,0.0701,-0.0428,1.9688,-43.0125,-12.0375,,adl
0.529891,-0.0333,-0.1035,0.9923,-0.0024,0.0039,-0.0334,0.0034,0.0701,-0.0428,1.9688,-43.0125,-12.0375,,adl
0.542482,-0.0333,-0.1035,0.9923,-0.0389,-0.0117,-0.0564,0.0034,0.0701,-0.0428,1.9688,-43.0125,-12.0375,,adl
0.545468,-0.0333,-0.1035,0.9923,-0.0389,-0.0117,-0.0564,0.0034,0.0701,-0.0428,2.0625,-43.0312,-11.9438,,adl
0.560829,-0.0401,-0.1133,1.0117,-0.0389,-0.0117,-0.0564,0.0034,0.0701,-0.0428,2.0625,-43.0312,-11.9438,,adl
0.562067,-0.0401,-0.1133,1.0117,-0.0064,0.0063,0.1867,0.0034,0.0701,-0.0428,2.0625,-43.0312,-11.9438,,adl
0.56536,-0.0401,-0.1133,1.0117,-0.0064,0.0063,0.1867,-0.0246,0.0627,-0.0208,2.0625,-43.0312,-11.9438,,adl
0.580579,-0.0401,-0.1133,1.0117,0.0198,-0.0623,0.2234,-0.0246,0.0627,-0.0208,2.0625,-43.0312,-11.9438,,adl
0.599822,-0.0401,-0.1133,1.0117,0.0079,0.0056,0.1539,-0.0246,0.0627,-0.0208,2.0625,-43.0312,-11.9438,,adl
0.603563,-0.0401,-0.1133,1.0117,0.0079,0.0056,0.1539,-0.0246,0.0627,-0.0208,2.0625,-42.825,-11.9438,,adl
0.609216,-0.045,-0.1071,1.0119,0.0079,0.0056,0.1539,-0.0246,0.0627,-0.0208,2.0625,-42.825,-11.9438,,adl
0.618367,-0.045,-0.1071,1.0119,0.0113,0.0243,0.1628,-0.0246,0.0627,-0.0208,2.0625,-42.825,-11.9438,,adl
0.629463,-0.045,-0.1071,1.0119,0.0113,0.0243,0.1628,0.0389,-0.0191,-0.0268,2.0625,-42.825,-11.9438,,adl
0.637524,-0.045,-0.1071,1.0119,0.0444,0.0029,-0.0081,0.0389,-0.0191,-0.0268,2.0625,-42.825,-11.9438,,adl
0.655163,-0.0399,-0.1079,0.9902,0.0444,0.0029,-0.0081,0.0389,-0.0191,-0.0268,2.0625,-42.825,-11.9438,,adl
0.657328,-0.0399,-0.1079,0.9902,0.0206,0.0365,-0.0256,0.0389,-0.0191,-0.0268,2.0625,-42.825,-11.9438,,adl
0.662203,-0.0399,-0.1079,0.9902,0.0206,0.0365,-0.0256,0.0389,-0.0191,-0.0268,2.85,-42.9938,-12.9,,adl
0.676531,-0.0399,-0.1079,0.9902,0.0148,-0.0146,-0.0307,0.0389,-0.0191,-0.0268,2.85,-42.9938,-12.9,,adl
