time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,label
0.025422,0.422,0.0087,-0.294,0.0,0.0,0.0,0.0,0.0,0.0,,adl
0.043834,0.5205,0.0876,-0.4007,0.0,0.0,0.0,0.0,0.0,0.0,,adl
0.047381,0.5205,0.0876,-0.4007,0.0,0.0,0.0,0.0,0.0,0.0,,adl
0.05633,0.5205,0.0876,-0.4007,0.0,0.0,0.0,-24.4313,-30.3375,7.3313,,adl
0.064448,0.5205,0.0876,-0.4007,-0.0637,0.0604,-0.0133,-24.4313,-30.3375,7.3313,,adl
0.065569,-0.1081,0.0576,0.0988,-0.0637,0.0604,-0.0133,-24.4313,-30.3375,7.3313,,adl
0.082331,-0.3891,0.0086,0.2195,-0.0637,0.0604,-0.0133,-24.4313,-30.3375,7.3313,,adl
0.096345,-0.3891,0.0086,0.2195,-0.0637,0.0604,-0.0133,-24.4313,-30.3375,7.3313,,adl
0.103158,-0.0058,0.0158,-0.083,-0.0637,0.0604,-0.0133,-24.4313,-30.3375,7.3313,,adl
0.11669,-0.0058,0.0158,-0.083,-0.0637,0.0604,-0.0133,-25.425,-30.0938,7.05,,adl
0.120998,0.2483,0.0575,-0.2392,-0.0637,0.0604,-0.0133,-25.425,-30.0938,7.05,,adl
0.124717,0.2483,0.0575,-0.2392,-0.0161,-0.008,-0.006,-25.425,-30.0938,7.05,,adl
0.140756,0.1488,-0.0184,-0.0693,-0.0161,-0.008,-0.006,-25.425,-30.0938,7.05,,adl
0.144024,0.1488,-0.0184,-0.0693,-0.0161,-0.008,-0.006,-25.425,-30.0938,7.05,,adl
0.159731,-0.0382,-0.0766,0.2023,-0.0161,-0.008,-0.006,-25.425,-30.0938,7.05,,adl
0.17701,-0.0382,-0.0766,0.2023,-0.0161,-0.008,-0.006,-25.1063,-30.2813,6.6188,,adl
0.180231,-0.1073,-0.0264,0.0221,-0.0161,-0.008,-0.006,-25.1063,-30.2813,6.6188,,adl
0.186608,-0.1073,-0.0264,0.0221,0.0316,-0.0177,-0.0084,-25.1063,-30.2813,6.6188,,adl
0.19187,-0.1073,-0.0264,0.0221,0.0316,-0.0177,-0.0084,-25.1063,-30.2813,6.6188,,adl
0.198912,-0.0093,0.0688,-0.1009,0.0316,-0.0177,-0.0084,-25.1063,-30.2813,6.6188,,adl
0.216168,0.0771,0.0529,-0.0797,0.0316,-0.0177,-0.0084,-25.1063,-30.2813,6.6188,,adl
0.236244,0.0496,-0.0459,0.0325,0.0316,-0.0177,-0.0084,-25.1063,-30.2813,6.6188,,adl
0.239332,0.0496,-0.0459,0.0325,0.0316,-0.0177,-0.0084,-24.75,-30.0375,7.4438,,adl
0.241735,0.0496,-0.0459,0.0325,0.0316,-0.0177,-0.0084,-24.75,-30.0375,7.4438,,adl
0.248849,0.0496,-0.0459,0.0325,-0.0099,-0.0044,-0.0011,-24.75,-30.0375,7.4438,,adl
0.254225,-0.0162,-0.0674,0.0916,-0.0099,-0.0044,-0.0011,-24.75,-30.0375,7.4438,,adl
0.274477,0.0004,0.0044,-0.0259,-0.0099,-0.0044,-0.0011,-24.75,-30.0375,7.4438,,adl
0.286866,0.0004,0.0044,-0.0259,-0.0099,-0.0044,-0.0011,-24.75,-30.0375,7.4438,,adl
0.292497,0.044,0.0563,-0.1154,-0.0099,-0.0044,-0.0011,-24.75,-30.0375,7.4438,,adl
0.298054,0.044,0.0563,-0.1154,-0.0099,-0.0044,-0.0011,-24.3563,-29.8313,6.9188,,adl
0.312522,0.044,0.0563,-0.1154,-0.0148,-0.008,0.0026,-24.3563,-29.8313,6.9188,,adl
0.31359,0.037,0.0136,-0.029,-0.0148,-0.008,0.0026,-24.3563,-29.8313,6.9188,,adl
