time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,label
0.020297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,adl
0.026507,0.117,0.5411,-1.1988,0.0,0.0,0.0,0.0,0.0,0.0,,adl
0.045528,0.0148,-0.0205,-0.8135,0.0,0.0,0.0,0.0,0.0,0.0,,adl
0.062018,0.0148,-0.0205,-0.8135,0.0,0.0,0.0,-19.9688,-32.6063,8.1188,,adl
0.0634,0.0148,-0.0205,-0.8135,-0.0748,0.1507,0.0146,-19.9688,-32.6063,8.1188,,adl
0.064386,-0.2004,0.0307,0.255,-0.0748,0.1507,0.0146,-19.9688,-32.6063,8.1188,,adl
0.068625,-0.2004,0.0307,0.255,-0.0748,0.1507,0.0146,-19.9688,-32.6063,8.1188,,adl
0.084497,-0.1196,-0.0058,0.3977,-0.0748,0.1507,0.0146,-19.9688,-32.6063,8.1188,,adl
0.104131,0.1087,-0.0702,0.3388,-0.0748,0.1507,0.0146,-19.9688,-32.6063,8.1188,,adl
0.116869,0.1087,-0.0702,0.3388,-0.0748,0.1507,0.0146,-19.9688,-32.6063,8.1188,,adl
0.12374,0.1105,-0.122,0.2581,-0.0748,0.1507,0.0146,-19.9688,-32.6063,8.1188,,adl
0.125487,0.1105,-0.122,0.2581,-0.0748,0.1507,0.0146,-19.7625,-32.9438,8.625,,adl
0.126963,0.1105,-0.122,0.2581,0.0143,-0.0459,-0.0012,-19.7625,-32.9438,8.625,,adl
0.141113,-0.1133,-0.0364,0.0154,0.0143,-0.0459,-0.0012,-19.7625,-32.9438,8.625,,adl
0.161402,-0.1067,0.1214,-0.2923,0.0143,-0.0459,-0.0012,-19.7625,-32.9438,8.625,,adl
0.164391,-0.1067,0.1214,-0.2923,0.0143,-0.0459,-0.0012,-19.7625,-32.9438,8.625,,adl
0.179839,-0.0062,0.0374,-0.2868,0.0143,-0.0459,-0.0012,-19.7625,-32.9438,8.625,,adl
0.182945,-0.0062,0.0374,-0.2868,0.0143,-0.0459,-0.0012,-20.0625,-32.7,8.2313,,adl
0.188363,-0.0062,0.0374,-0.2868,-0.0113,0.0114,0.0293,-20.0625,-32.7,8.2313,,adl
0.198014,0.044,-0.0932,-0.1525,-0.0113,0.0114,0.0293,-20.0625,-32.7,8.2313,,adl
0.211928,0.044,-0.0932,-0.1525,-0.0113,0.0114,0.0293,-20.0625,-32.7,8.2313,,adl
0.217303,0.0347,-0.041,-0.0238,-0.0113,0.0114,0.0293,-20.0625,-32.7,8.2313,,adl
0.236797,-0.0563,-0.0049,0.0931,-0.0113,0.0114,0.0293,-20.0625,-32.7,8.2313,,adl
0.243191,-0.0563,-0.0049,0.0931,-0.0113,0.0114,0.0293,-20.3625,-32.4938,8.025,,adl
0.250139,-0.0563,-0.0049,0.0931,-0.0077,0.0102,0.0085,-20.3625,-32.4938,8.025,,adl
0.255571,-0.0092,-0.0667,0.1726,-0.0077,0.0102,0.0085,-20.3625,-32.4938,8.025,,adl
0.260027,-0.0092,-0.0667,0.1726,-0.0077,0.0102,0.0085,-20.3625,-32.4938,8.025,,adl
0.275651,0.0397,-0.0544,0.0736,-0.0077,0.0102,0.0085,-20.3625,-32.4938,8.025,,adl
0.294758,-0.0179,0.0238,-0.0912,-0.0077,0.0102,0.0085,-20.3625,-32.4938,8.025,,adl
0.305886,-0.0179,0.0238,-0.0912,-0.0077,0.0102,0.0085,-19.7438,-33.225,8.325,,adl
0.307688,-0.0179,0.0238,-0.0912,-0.0077,0.0102,0.0085,-19.7438,-33.225,8.325,,adl
0.312591,-0.0179,0.0238,-0.0912,0.001,-0.0191,0.0012,-19.7438,-33.225,8.325,,adl
0.313792,-0.065,0.048,-0.13,0.001,-0.0191,0.0012,-19.7438,-33.225,8.325,,adl
0.332512,-0.0373,-0.0252,-0.1145,0.001,-0.0191,0.0012,-19.7438,-33.225,8.325,,adl
0.351696,0.0229,-0.0238,-0.1124,0.001,-0.0191,0.0012,-19.7438,-33.225,8.325,,adl
0.356229,0.0229,-0.0238,-0.1124,0.001,-0.0191,0.0012,-19.7438,-33.225,8.325,,adl
0.362735,0.0229,-0.0238,-0.1124,0.001,-0.0191,0.0012,-19.8563,-33.0188,8.4188,,adl
0.373068,-0.0313,-0.0103,0.0421,0.001,-0.0191,0.0012,-19.8563,-33.0188,8.4188,,adl
0.37532,-0.0313,-0.0103,0.0421,-0.0088,0.0224,0.0036,-19.8563,-33.0188,8.4188,,adl
0.390133,-0.0715,0.0194,0.094,-0.0088,0.0224,0.0036,-19.8563,-33.0188,8.4188,,adl
0.404908,-0.0715,0.0194,0.094,-0.0088,0.0224,0.0036,-19.8563,-33.0188,8.4188,,adl
0.40895,-0.0074,-0.0111,0.0563,-0.0088,0.0224,0.0036,-19.8563,-33.0188,8.4188,,adl
0.423928,-0.0074,-0.0111,0.0563,-0.0088,0.0224,0.0036,-20.3438,-32.7938,8.1375,,adl
0.427922,0.0141,-0.0394,-0.0511,-0.0088,0.0224,0.0036,-20.3438,-32.7938,8.1375,,adl
0.437283,0.0141,-0.0394,-0.0511,0.0095,-0.0093,0.0012,-20.3438,-32.7938,8.1375,,adl
0.447051,-0.0214,-0.0088,-0.1662,0.0095,-0.0093,0.0012,-20.3438,-32.7938,8.1375,,adl
0.451377,-0.0214,-0.0088,-0.1662,0.0095,-0.0093,0.0012,-20.3438,-32.7938,8.1375,,adl
0.466839,-0.0234,0.0061,-0.0614,0.0095,-0.0093,0.0012,-20.3438,-32.7938,8.1375,,adl
0.482669,-0.0234,0.0061,-0.0614,0.0095,-0.0093,0.0012,-20.3438,-33.0938,8.3438,,adl
0.485606,-0.0474,-0.0301,0.0367,0.0095,-0.0093,0.0012,-20.3438,-33.0938,8.3438,,adl
0.49916,-0.0474,-0.0301,0.0367,0.0095,-0.0093,0.0012,-20.3438,-33.0938,8.3438,,adl
0.500096,-0.0474,-0.0301,0.0367,-0.0027,0.0041,0.0036,-20.3438,-33.0938,8.3438,,adl
0.507292,0.0113,-0.0216,0.0378,-0.0027,0.0041,0.0036,-20.3438,-33.0938,8.3438,,adl
0.523993,-0.0126,-0.0143,0.0043,-0.0027,0.0041,0.0036,-20.3438,-33.0938,8.3438,,adl
0.543252,-0.0065,-0.0574,-0.0161,-0.0027,0.0041,0.0036,-20.3438,-33.0938,8.3438,,adl
0.546505,-0.0065,-0.0574,-0.0161,-0.0027,0.0041,0.0036,-20.55,-32.7938,8.3438,,adl
0.549229,-0.0065,-0.0574,-0.0161,-0.0027,0.0041,0.0036,-20.55,-32.7938,8.3438,,adl
0.561009,-0.0065,-0.0574,-0.0161,0.007,-0.0117,-0.0098,-20.55,-32.7938,8.3438,,adl
0.563006,-0.0004,-0.0324,-0.0174,0.007,-0.0117,-0.0098,-20.55,-32.7938,8.3438,,adl
0.581166,-0.0093,0.0466,-0.0587,0.007,-0.0117,-0.0098,-20.55,-32.7938,8.3438,,adl
0.594505,-0.0093,0.0466,-0.0587,0.007,-0.0117,-0.0098,-20.55,-32.7938,8.3438,,adl
0.599811,-0.0575,0.0475,-0.0441,0.007,-0.0117,-0.0098,-20.55,-32.7938,8.3438,,adl
0.601928,-0.0575,0.0475,-0.0441,0.007,-0.0117,-0.0098,-20.2313,-33.2063,8.2313,,adl
0.619191,-0.0282,-0.0303,-0.0446,0.007,-0.0117,-0.0098,-20.2313,-33.2063,8.2313,,adl
0.623605,-0.0282,-0.0303,-0.0446,-0.004,0.0041,0.0073,-20.2313,-33.2063,8.2313,,adl
0.638903,0.0752,-0.0621,-0.0092,-0.004,0.0041,0.0073,-20.2313,-33.2063,8.2313,,adl
0.643458,0.0752,-0.0621,-0.0092,-0.004,0.0041,0.0073,-20.2313,-33.2063,8.2313,,adl
0.657516,0.0426,-0.0339,0.0139,-0.004,0.0041,0.0073,-20.2313,-33.2063,8.2313,,adl
0.66391,0.0426,-0.0339,0.0139,-0.004,0.0041,0.0073,-20.3438,-32.8875,8.025,,adl
0.677284,-0.0642,0.0189,0.0222,-0.004,0.0041,0.0073,-20.3438,-32.8875,8.025,,adl
0.68465,-0.0642,0.0189,0.0222,0.001,-0.0069,-0.0062,-20.3438,-32.8875,8.025,,adl
0.689794,-0.0642,0.0189,0.0222,0.001,-0.0069,-0.0062,-20.3438,-32.8875,8.025,,adl
0.694961,-0.0282,-0.035,0.0006,0.001,-0.0069,-0.0062,-20.3438,-32.8875,8.025,,adl
0.715359,0.0372,-0.0193,-0.0097,0.001,-0.0069,-0.0062,-20.3438,-32.8875,8.025,,adl
0.723119,0.0372,-0.0193,-0.0097,0.001,-0.0069,-0.0062,-19.7438,-33.225,8.325,,adl
0.733703,0.0047,-0.0235,-0.08,0.001,-0.0069,-0.0062,-19.7438,-33.225,8.325,,adl
0.737539,0.0047,-0.0235,-0.08,0.001,-0.0069,-0.0062,-19.7438,-33.225,8.325,,adl
0.74917,0.0047,-0.0235,-0.08,-0.0015,0.0041,-0.0135,-19.7438,-33.225,8.325,,adl
0.753024,-0.0692,0.0084,-0.0349,-0.0015,0.0041,-0.0135,-19.7438,-33.225,8.325,,adl
0.772834,-0.1164,0.0548,0.0313,-0.0015,0.0041,-0.0135,-19.7438,-33.225,8.325,,adl
0.783184,-0.1164,0.0548,0.0313,-0.0015,0.0041,-0.0135,-19.7625,-32.8313,8.5312,,adl
0.784978,-0.1164,0.0548,0.0313,-0.0015,0.0041,-0.0135,-19.7625,-32.8313,8.5312,,adl
0.791244,-0.0409,0.0316,0.066,-0.0015,0.0041,-0.0135,-19.7625,-32.8313,8.5312,,adl
0.809637,-0.0409,0.0316,0.066,0.0022,-0.0362,0.0122,-19.7625,-32.8313,8.5312,,adl
0.811232,0.07,-0.0688,0.0178,0.0022,-0.0362,0.0122,-19.7625,-32.8313,8.5312,,adl
0.830003,0.0082,-0.006,-0.066,0.0022,-0.0362,0.0122,-19.7625,-32.8313,8.5312,,adl
0.833798,0.0082,-0.006,-0.066,0.0022,-0.0362,0.0122,-19.7625,-32.8313,8.5312,,adl
0.844585,0.0082,-0.006,-0.066,0.0022,-0.0362,0.0122,-19.95,-33.0188,8.4188,,adl
0.849925,-0.0518,0.0012,-0.0824,0.0022,-0.0362,0.0122,-19.95,-33.0188,8.4188,,adl
0.869765,-0.0077,-0.0023,-0.088,0.0022,-0.0362,0.0122,-19.95,-33.0188,8.4188,,adl
0.872367,-0.0077,-0.0023,-0.088,-0.004,0.0016,0.011,-19.95,-33.0188,8.4188,,adl
0.883513,-0.0077,-0.0023,-0.088,-0.004,0.0016,0.011,-19.95,-33.0188,8.4188,,adl
0.886416,0.0022,-0.0096,-0.0572,-0.004,0.0016,0.011,-19.95,-33.0188,8.4188,,adl
0.903163,0.0022,-0.0096,-0.0572,-0.004,0.0016,0.011,-19.65,-33.1125,8.2125,,adl
0.906069,0.0491,-0.0429,0.042,-0.004,0.0016,0.011,-19.65,-33.1125,8.2125,,adl
0.926929,-0.0138,-0.0394,0.0808,-0.004,0.0016,0.011,-19.65,-33.1125,8.2125,,adl
0.929732,-0.0138,-0.0394,0.0808,-0.004,0.0016,0.011,-19.65,-33.1125,8.2125,,adl
0.934892,-0.0138,-0.0394,0.0808,0.0058,-0.0106,-0.0049,-19.65,-33.1125,8.2125,,adl
0.943699,-0.0004,-0.0262,0.0147,0.0058,-0.0106,-0.0049,-19.65,-33.1125,8.2125,,adl
0.964669,0.0211,0.0051,-0.0808,0.0058,-0.0106,-0.0049,-19.65,-33.1125,8.2125,,adl
0.96862,0.0211,0.0051,-0.0808,0.0058,-0.0106,-0.0049,-19.7625,-33.0,8.1188,,adl
0.97701,0.0211,0.0051,-0.0808,0.0058,-0.0106,-0.0049,-19.7625,-33.0,8.1188,,adl
0.982454,-0.0398,0.008,-0.0654,0.0058,-0.0106,-0.0049,-19.7625,-33.0,8.1188,,adl
0.996931,-0.0398,0.008,-0.0654,-0.0027,0.0054,-0.0025,-19.7625,-33.0,8.1188,,adl
1.002111,-0.0654,0.0143,-0.0279,-0.0027,0.0054,-0.0025,-19.7625,-33.0,8.1188,,adl
1.020992,-0.0332,0.0245,0.0236,-0.0027,0.0054,-0.0025,-19.7625,-33.0,8.1188,,adl
1.022385,-0.0332,0.0245,0.0236,-0.0027,0.0054,-0.0025,-20.5312,-33.2812,8.1375,,adl
1.025203,-0.0332,0.0245,0.0236,-0.0027,0.0054,-0.0025,-20.5312,-33.2812,8.1375,,adl
1.039871,-0.0136,-0.0051,0.0376,-0.0027,0.0054,-0.0025,-20.5312,-33.2812,8.1375,,adl
1.059283,-0.0136,-0.0051,0.0376,-0.0015,-0.0106,0.0073,-20.5312,-33.2812,8.1375,,adl
1.061743,0.0663,-0.0488,-0.0494,-0.0015,-0.0106,0.0073,-20.5312,-33.2812,8.1375,,adl
1.074477,0.0663,-0.0488,-0.0494,-0.0015,-0.0106,0.0073,-20.5312,-33.2812,8.1375,,adl
1.077722,0.1081,-0.1311,-0.0909,-0.0015,-0.0106,0.0073,-20.5312,-33.2812,8.1375,,adl
1.084267,0.1081,-0.1311,-0.0909,-0.0015,-0.0106,0.0073,-19.7438,-33.1125,8.1188,,adl
1.097672,-0.0105,-0.0394,-0.0683,-0.0015,-0.0106,0.0073,-19.7438,-33.1125,8.1188,,adl
1.116192,-0.0513,-0.0009,0.0944,-0.0015,-0.0106,0.0073,-19.7438,-33.1125,8.1188,,adl
1.120858,-0.0513,-0.0009,0.0944,-0.0015,-0.0106,0.0073,-19.7438,-33.1125,8.1188,,adl
1.121645,-0.0513,-0.0009,0.0944,-0.0175,-0.0069,-0.0232,-19.7438,-33.1125,8.1188,,adl
1.135929,0.0748,-0.0975,0.0856,-0.0175,-0.0069,-0.0232,-19.7438,-33.1125,8.1188,,adl
1.141976,0.0748,-0.0975,0.0856,-0.0175,-0.0069,-0.0232,-19.6688,-32.925,8.325,,adl
1.154916,0.175,-0.17,-0.1197,-0.0175,-0.0069,-0.0232,-19.6688,-32.925,8.325,,adl
1.169473,0.175,-0.17,-0.1197,-0.0175,-0.0069,-0.0232,-19.6688,-32.925,8.325,,adl
1.175218,0.17,-0.1899,-0.2939,-0.0175,-0.0069,-0.0232,-19.6688,-32.925,8.325,,adl
1.182828,0.17,-0.1899,-0.2939,-0.0418,0.0309,-0.0868,-19.6688,-32.925,8.325,,adl
