time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,label
0.023373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,adl
0.024168,-1.1984,-0.1388,-0.1716,0.0,0.0,0.0,0.0,0.0,0.0,,adl
0.04331,-0.0387,-0.1661,-0.3068,0.0,0.0,0.0,0.0,0.0,0.0,,adl
0.05065,-0.0387,-0.1661,-0.3068,0.0,0.0,0.0,34.0688,-15.4875,-23.2875,,adl
0.063044,0.2718,0.0126,-1.0616,0.0,0.0,0.0,34.0688,-15.4875,-23.2875,,adl
0.066974,0.2718,0.0126,-1.0616,0.4042,-0.3783,0.0367,34.0688,-15.4875,-23.2875,,adl
0.071594,0.2718,0.0126,-1.0616,0.4042,-0.3783,0.0367,34.0688,-15.4875,-23.2875,,adl
0.081882,0.4656,-0.1191,-1.5168,0.4042,-0.3783,0.0367,34.0688,-15.4875,-23.2875,,adl
0.100558,-0.4725,-0.4214,0.0289,0.4042,-0.3783,0.0367,34.0688,-15.4875,-23.2875,,adl
0.111948,-0.4725,-0.4214,0.0289,0.4042,-0.3783,0.0367,34.3875,-16.0875,-23.1938,,adl
0.119421,-0.4725,-0.4214,0.0289,0.4042,-0.3783,0.0367,34.3875,-16.0875,-23.1938,,adl
0.121731,-1.0402,-0.4493,0.7847,0.4042,-0.3783,0.0367,34.3875,-16.0875,-23.1938,,adl
0.128338,-1.0402,-0.4493,0.7847,0.1502,0.0872,0.1075,34.3875,-16.0875,-23.1938,,adl
0.140397,-0.6865,-0.5628,0.6357,0.1502,0.0872,0.1075,34.3875,-16.0875,-23.1938,,adl
0.158745,-0.3374,-0.4682,0.1774,0.1502,0.0872,0.1075,34.3875,-16.0875,-23.1938,,adl
0.169018,-0.3374,-0.4682,0.1774,0.1502,0.0872,0.1075,34.3875,-16.0875,-23.1938,,adl
0.171767,-0.3374,-0.4682,0.1774,0.1502,0.0872,0.1075,34.3125,-16.7063,-22.9875,,adl
0.177686,-0.0123,-0.2772,-0.3194,0.1502,0.0872,0.1075,34.3125,-16.7063,-22.9875,,adl
0.190864,-0.0123,-0.2772,-0.3194,0.2454,0.0114,0.1601,34.3125,-16.7063,-22.9875,,adl
0.196668,0.0293,-0.1792,-0.7368,0.2454,0.0114,0.1601,34.3125,-16.7063,-22.9875,,adl
0.215033,0.0293,-0.1792,-0.7368,0.2454,0.0114,0.1601,34.3125,-16.7063,-22.9875,,adl
0.216053,-0.0026,-0.1952,-0.523,0.2454,0.0114,0.1601,34.3125,-16.7063,-22.9875,,adl
0.231218,-0.0026,-0.1952,-0.523,0.2454,0.0114,0.1601,34.6125,-17.1375,-22.4813,,adl
0.23793,-0.0064,-0.2331,-0.107,0.2454,0.0114,0.1601,34.6125,-17.1375,-22.4813,,adl
0.253407,-0.0064,-0.2331,-0.107,0.0402,0.1434,0.0245,34.6125,-17.1375,-22.4813,,adl
0.254904,-0.0735,-0.2107,0.0136,0.0402,0.1434,0.0245,34.6125,-17.1375,-22.4813,,adl
0.26312,-0.0735,-0.2107,0.0136,0.0402,0.1434,0.0245,34.6125,-17.1375,-22.4813,,adl
0.273737,-0.1951,-0.1896,0.1117,0.0402,0.1434,0.0245,34.6125,-17.1375,-22.4813,,adl
0.291231,-0.1951,-0.1896,0.1117,0.0402,0.1434,0.0245,34.125,-17.3438,-22.05,,adl
0.294414,-0.1456,-0.2237,-0.1053,0.0402,0.1434,0.0245,34.125,-17.3438,-22.05,,adl
0.311106,-0.1456,-0.2237,-0.1053,0.0402,0.1434,0.0245,34.125,-17.3438,-22.05,,adl
0.312108,-0.0101,-0.1701,-0.1197,0.0402,0.1434,0.0245,34.125,-17.3438,-22.05,,adl
0.314918,-0.0101,-0.1701,-0.1197,0.0842,0.0737,0.0135,34.125,-17.3438,-22.05,,adl
0.331522,-0.0974,-0.1279,-0.1956,0.0842,0.0737,0.0135,34.125,-17.3438,-22.05,,adl
0.349905,-0.1855,-0.1163,-0.3286,0.0842,0.0737,0.0135,34.125,-17.3438,-22.05,,adl
0.351442,-0.1855,-0.1163,-0.3286,0.0842,0.0737,0.0135,33.8625,-17.85,-21.8438,,adl
0.35837,-0.1855,-0.1163,-0.3286,0.0842,0.0737,0.0135,33.8625,-17.85,-21.8438,,adl
0.369988,-0.2429,-0.2185,-0.188,0.0842,0.0737,0.0135,33.8625,-17.85,-21.8438,,adl
0.378003,-0.2429,-0.2185,-0.188,0.0719,-0.0314,-0.0316,33.8625,-17.85,-21.8438,,adl
0.387641,-0.2639,-0.3082,0.232,0.0719,-0.0314,-0.0316,33.8625,-17.85,-21.8438,,adl
0.406454,-0.2639,-0.3082,0.232,0.0719,-0.0314,-0.0316,33.8625,-17.85,-21.8438,,adl
0.407634,-0.4212,-0.3191,0.5801,0.0719,-0.0314,-0.0316,33.8625,-17.85,-21.8438,,adl
0.413517,-0.4212,-0.3191,0.5801,0.0719,-0.0314,-0.0316,34.4438,-17.6438,-21.9563,,adl
0.426031,-0.1998,-0.3698,0.7434,0.0719,-0.0314,-0.0316,34.4438,-17.6438,-21.9563,,adl
0.43992,-0.1998,-0.3698,0.7434,0.524,-0.5444,-0.0231,34.4438,-17.6438,-21.9563,,adl
0.446795,-0.1381,-0.3637,0.3196,0.524,-0.5444,-0.0231,34.4438,-17.6438,-21.9563,,adl
0.453507,-0.1381,-0.3637,0.3196,0.524,-0.5444,-0.0231,34.4438,-17.6438,-21.9563,,adl
0.46339,-0.0963,-0.3674,-0.1498,0.524,-0.5444,-0.0231,34.4438,-17.6438,-21.9563,,adl
0.470425,-0.0963,-0.3674,-0.1498,0.524,-0.5444,-0.0231,33.975,-18.1313,-21.9563,,adl
0.484346,-0.0314,-0.3332,-0.2543,0.524,-0.5444,-0.0231,33.975,-18.1313,-21.9563,,adl
0.502071,-0.0314,-0.3332,-0.2543,0.524,-0.5444,-0.0231,33.975,-18.1313,-21.9563,,adl
0.504745,-0.0314,-0.3332,-0.2543,0.3957,-0.1706,-0.0329,33.975,-18.1313,-21.9563,,adl
0.507419,-0.0754,-0.1937,-0.7249,0.3957,-0.1706,-0.0329,33.975,-18.1313,-21.9563,,adl
0.522875,-0.3609,-0.2864,-1.2659,0.3957,-0.1706,-0.0329,33.975,-18.1313,-21.9563,,adl
0.532055,-0.3609,-0.2864,-1.2659,0.3957,-0.1706,-0.0329,34.1063,-18.8063,-22.3688,,adl
0.541629,0.7677,0.41,-1.0233,0.3957,-0.1706,-0.0329,34.1063,-18.8063,-22.3688,,adl
0.55154,0.7677,0.41,-1.0233,0.3957,-0.1706,-0.0329,34.1063,-18.8063,-22.3688,,adl
0.559877,-1.1053,-0.2305,-0.7907,0.3957,-0.1706,-0.0329,34.1063,-18.8063,-22.3688,,adl
0.563938,-1.1053,-0.2305,-0.7907,-0.5158,1.0853,0.0892,34.1063,-18.8063,-22.3688,,adl
0.57896,-0.653,-0.0875,0.5164,-0.5158,1.0853,0.0892,34.1063,-18.8063,-22.3688,,adl
0.591846,-0.653,-0.0875,0.5164,-0.5158,1.0853,0.0892,34.8375,-18.375,-20.0063,,adl
0.597782,-0.653,-0.0875,0.5164,-0.5158,1.0853,0.0892,34.8375,-18.375,-20.0063,,adl
0.598973,-0.4754,-0.2849,1.2923,-0.5158,1.0853,0.0892,34.8375,-18.375,-20.0063,,adl
0.617595,-0.2366,-0.2694,1.521,-0.5158,1.0853,0.0892,34.8375,-18.375,-20.0063,,adl
0.626051,-0.2366,-0.2694,1.521,-0.1272,0.7774,0.3543,34.8375,-18.375,-20.0063,,adl
0.636797,0.0173,0.0951,1.5506,-0.1272,0.7774,0.3543,34.8375,-18.375,-20.0063,,adl
0.647818,0.0173,0.0951,1.5506,-0.1272,0.7774,0.3543,34.8375,-18.375,-20.0063,,adl
0.652705,0.0173,0.0951,1.5506,-0.1272,0.7774,0.3543,35.625,-18.9563,-18.7875,,adl
0.658722,0.1229,-0.0104,1.0375,-0.1272,0.7774,0.3543,35.625,-18.9563,-18.7875,,adl
0.674448,0.0961,-0.1528,0.3338,-0.1272,0.7774,0.3543,35.625,-18.9563,-18.7875,,adl
0.688346,0.0961,-0.1528,0.3338,0.4995,-0.1132,0.0832,35.625,-18.9563,-18.7875,,adl
0.693203,0.0961,-0.1528,0.3338,0.4995,-0.1132,0.0832,35.625,-18.9563,-18.7875,,adl
0.696037,-0.2518,0.0402,-0.2492,0.4995,-0.1132,0.0832,35.625,-18.9563,-18.7875,,adl
0.711833,-0.2518,0.0402,-0.2492,0.4995,-0.1132,0.0832,35.175,-19.7625,-18.2625,,adl
0.71327,-0.3663,0.053,-0.7448,0.4995,-0.1132,0.0832,35.175,-19.7625,-18.2625,,adl
0.732479,-0.2423,-0.0427,-0.8149,0.4995,-0.1132,0.0832,35.175,-19.7625,-18.2625,,adl
0.74133,-0.2423,-0.0427,-0.8149,0.4995,-0.1132,0.0832,35.175,-19.7625,-18.2625,,adl
0.749782,-0.2423,-0.0427,-0.8149,0.1342,-0.1632,0.0905,35.175,-19.7625,-18.2625,,adl
0.751296,-0.0711,-0.123,-0.5846,0.1342,-0.1632,0.0905,35.175,-19.7625,-18.2625,,adl
0.770785,0.024,-0.1427,-0.3586,0.1342,-0.1632,0.0905,35.175,-19.7625,-18.2625,,adl
0.77215,0.024,-0.1427,-0.3586,0.1342,-0.1632,0.0905,35.0813,-20.1375,-18.675,,adl
0.788533,0.024,-0.1427,-0.3586,0.1342,-0.1632,0.0905,35.0813,-20.1375,-18.675,,adl
0.789559,0.0466,-0.1446,-0.2419,0.1342,-0.1632,0.0905,35.0813,-20.1375,-18.675,,adl
0.809195,0.0251,-0.2177,-0.1855,0.1342,-0.1632,0.0905,35.0813,-20.1375,-18.675,,adl
0.815721,0.0251,-0.2177,-0.1855,0.0524,-0.1937,-0.0549,35.0813,-20.1375,-18.675,,adl
0.827924,-0.0709,-0.2711,-0.1224,0.0524,-0.1937,-0.0549,35.0813,-20.1375,-18.675,,adl
0.833278,-0.0709,-0.2711,-0.1224,0.0524,-0.1937,-0.0549,34.8,-20.325,-18.675,,adl
0.838747,-0.0709,-0.2711,-0.1224,0.0524,-0.1937,-0.0549,34.8,-20.325,-18.675,,adl
0.846494,-0.2025,-0.3117,-0.1658,0.0524,-0.1937,-0.0549,34.8,-20.325,-18.675,,adl
0.866108,-0.2811,-0.3244,-0.1544,0.0524,-0.1937,-0.0549,34.8,-20.325,-18.675,,adl
0.875282,-0.2811,-0.3244,-0.1544,-0.0576,-0.1486,-0.0549,34.8,-20.325,-18.675,,adl
0.884,-0.2811,-0.3244,-0.1544,-0.0576,-0.1486,-0.0549,34.8,-20.325,-18.675,,adl
0.884949,-0.2424,-0.3987,0.0307,-0.0576,-0.1486,-0.0549,34.8,-20.325,-18.675,,adl
0.891897,-0.2424,-0.3987,0.0307,-0.0576,-0.1486,-0.0549,34.5188,-20.475,-19.5938,,adl
0.904644,-0.2119,-0.3984,0.2377,-0.0576,-0.1486,-0.0549,34.5188,-20.475,-19.5938,,adl
0.924222,-0.1485,-0.4183,0.3356,-0.0576,-0.1486,-0.0549,34.5188,-20.475,-19.5938,,adl
0.932616,-0.1485,-0.4183,0.3356,-0.0576,-0.1486,-0.0549,34.5188,-20.475,-19.5938,,adl
0.938673,-0.1485,-0.4183,0.3356,0.0243,-0.0984,-0.0378,34.5188,-20.475,-19.5938,,adl
0.946499,-0.0764,-0.4177,0.2705,0.0243,-0.0984,-0.0378,34.5188,-20.475,-19.5938,,adl
0.950905,-0.0764,-0.4177,0.2705,0.0243,-0.0984,-0.0378,34.3125,-19.95,-19.8938,,adl
0.961478,-0.1232,-0.3504,0.0384,0.0243,-0.0984,-0.0378,34.3125,-19.95,-19.8938,,adl
0.979871,-0.1232,-0.3504,0.0384,0.0243,-0.0984,-0.0378,34.3125,-19.95,-19.8938,,adl
0.982386,-0.0617,-0.2994,-0.2276,0.0243,-0.0984,-0.0378,34.3125,-19.95,-19.8938,,adl
0.999276,-0.0617,-0.2994,-0.2276,0.0096,-0.1376,-0.0561,34.3125,-19.95,-19.8938,,adl
1.002283,-0.1099,-0.2739,-0.366,0.0096,-0.1376,-0.0561,34.3125,-19.95,-19.8938,,adl
1.012919,-0.1099,-0.2739,-0.366,0.0096,-0.1376,-0.0561,34.9125,-20.2688,-19.9125,,adl
1.018474,-0.0472,-0.2773,-0.3122,0.0096,-0.1376,-0.0561,34.9125,-20.2688,-19.9125,,adl
1.028565,-0.0472,-0.2773,-0.3122,0.0096,-0.1376,-0.0561,34.9125,-20.2688,-19.9125,,adl
1.0387,-0.0667,-0.276,-0.1413,0.0096,-0.1376,-0.0561,34.9125,-20.2688,-19.9125,,adl
1.056962,0.0092,-0.2507,-0.0819,0.0096,-0.1376,-0.0561,34.9125,-20.2688,-19.9125,,adl
1.060702,0.0092,-0.2507,-0.0819,-0.0063,-0.0349,-0.0854,34.9125,-20.2688,-19.9125,,adl
1.073446,0.0092,-0.2507,-0.0819,-0.0063,-0.0349,-0.0854,34.2,-19.65,-19.8938,,adl
1.076975,0.0092,-0.2507,-0.0819,-0.0063,-0.0349,-0.0854,34.2,-19.65,-19.8938,,adl
1.079044,0.0835,-0.2151,-0.2238,-0.0063,-0.0349,-0.0854,34.2,-19.65,-19.8938,,adl
1.095804,0.2111,-0.267,-0.5071,-0.0063,-0.0349,-0.0854,34.2,-19.65,-19.8938,,adl
1.115129,0.2839,-0.2881,-0.7182,-0.0063,-0.0349,-0.0854,34.2,-19.65,-19.8938,,adl
